"id","name","packaging_signalled","bottlesize_signalled","fill_level_signalled","state_signalled","bottlesize_l","fill_level","state","packaging","sold","price"
21548,"Chateau Ducru-Beaucaillou 1990 0,75 l",NULL,1,1,1,0.75,"in","in, Etikett verschmutzt","None",1,90
21549,"Ornellaia Le Serre Nuove 2006 0,75 l",NULL,1,1,1,0.75,"ts","ts, Etiketten ganz leicht verschmutzt","None",1,70
21550,"Brumont, Alain Chateau Montus Cuvee Prestige 2002 0,75 l",1,1,1,1,0.75,"ts","ts","12er OHK",1,310
21551,"Clos Saint Jean Chateauneuf-du-Pape ""La Combe des Fous"" 2003 0,75 l",NULL,1,1,1,0.75,"2 cm","2 cm, Etiketten ganz leicht verschmutzt","None",1,140
21552,"Joan Simon  Sentius 2008 0,75 l",1,1,1,1,0.75,"in","in","lose",1,60
21553,"Ornellaia 1994 0,75 l",NULL,1,1,1,0.75,"in","in, Etikett ganz leicht verschmutzt","None",1,95
21554,"Fonseca, Jose Quinta Vale Dona Maria 2005 0,75 l",NULL,1,1,1,0.75,"in","in, Etiketten ganz leicht verschmutzt","None",1,100
21555,"Laurent Perrier Grand Siecle Brut NV 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,100
21556,"Bouzereau, Michel Meursault Les Genevrieres 1er Cru 2006 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm","None",1,100
21557,"Chateau Duhart-Milon-Rothschild 2004 0,75 l",1,1,1,1,0.75,"in","in","lose",1,45
21558,"Heymann Löwenstein Winninger Uhlen Roth Lay Riesling Erste Lage 2006 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm, Etiketten ganz leicht beschädigt","None",1,75
21559,"Penfolds Grange Hermitage 1995 0,75 l",NULL,1,1,1,0.75,"ts","ts, Etikett ganz leicht beschädigt","None",1,260
21560,"Tement, Manfred Sauvignon Blanc Zieregg 2011 0,75 l",NULL,1,1,1,0.75,"in","in, Etiketten ganz leicht beschädigt","None",1,180
21561,"Chateau Latour Les Forts de Latour, 2e vin de Latour 1993 0,75 l",NULL,1,1,1,0.75,"in","in, Etikett ganz leicht beschädigt, leicht verschmutzt, Kapsel ganz leicht beschädigt, Kapsel wellig und locker","None",1,60
21562,"Ökonomierat Rebholz Im Sonnenschein Spätburgunder Spätlese trocken 2003 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,50
21563,"Hugel Gewürztraminer Selection de Grains Nobles 1989 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm, Etikett ganz leicht beschädigt, Kapsel ganz leicht beschädigt","None",1,60
21564,"Penfolds Cabernet Sauvignon Bin 707 2009 0,75 l",NULL,1,1,1,0.75,"in","in","None",1,480
21565,"Gaja, Angelo Barbaresco 1991 0,75 l",NULL,1,1,1,0.75,"2 cm","2 cm, Etikett leicht verschmutzt","None",1,100
21566,"Chateau Mouton-Rothschild 1989 0,75 l",NULL,1,1,1,0.75,"ts","ts","None",1,350
21567,"Bollinger Special Cuvee Brut NV 3,0 l",1,1,1,1,3,"1 cm","1 cm","1er OHK",1,195
21568,"Othegraven, von Kanzemer Altenberg Riesling Grosses Gewächs 2005 0,75 l",NULL,1,1,1,0.75,"0,5 cm","0,5 cm, Etiketten ganz leicht beschädigt","None",1,50
21569,"Bollinger Special Cuvee Brut NV 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,180
21570,"Antinori Tignanello 1990 1,5 l",NULL,1,1,1,1.5,"in","in, Etikett ganz leicht verschmutzt","None",1,205
21571,"Weingut Knipser Sauvignon Blanc 2008 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,30
21572,"Hirtzberger, Franz Spitzer Singerriedel Riesling Trockenbeerenauslese 2009 0,375 l",NULL,1,1,1,0.37,"0","0,5 cm","None",1,90
21573,"Penfolds Cabernet Shiraz Koonunga Hill 1993 0,75 l",NULL,1,1,1,0.75,"in","in, Etiketten ganz leicht beschädigt, ganz leicht verschmutzt","None",1,40
21574,"Amiot Servelle Chambolle Musigny Les Amoureuses 1er Cru 2009 0,75 l",NULL,1,1,1,0.75,"0,5 cm","0,5 cm, Etikett beschädigt","None",1,150
21713,"Gantenbein Pinot Noir 2007 0,75 l",NULL,1,1,1,0.75,"0,5 cm","0,5 cm, Etikett ganz leicht beschädigt","None",1,125
21575,"Chateau Haut-Brion 2009 3,0 l",1,1,1,1,3,"1 cm","1 cm, Etikett leicht verschmutzt","1er OHK",NULL,0
21576,"Dauvissat, Renè et Vincent Chablis Les Clos Grand Cru 1990 0,375 l",NULL,1,1,1,0.37,"1 cm","1 cm, Etiketten stark beschädigt, stark verschmutzt","None",1,165
21577,"Chateau Gruaud-Larose 2000 0,75 l",1,1,1,1,0.75,"in","in, leichter Abrieb am Etikett","lose",NULL,0
21578,"Fürst, Rudolf Bürgstadter Centgrafenberg Frühburgunder trocken 2012 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,210
21579,"Taittinger Prelude Brut NV 1,5 l",1,1,1,1,1.5,"1 cm","1 cm","lose",NULL,0
21580,"Chateau de Malle 2001 0,75 l",NULL,1,1,1,0.75,"in","in","None",1,50
21581,"Moet & Chandon Dom Perignon ""Edition Tokujin Yoshioka"" Brut 2009 0,75 l",1,1,1,1,0.75,"0","0,5 cm","1er OC",1,120
21582,"Weingut Knipser Cuvee X ""R"" 2001 3,0 l",1,1,1,1,3,"in","in, Leckspuren","1er OHK",1,185
21583,"Levi, Serafino Grappa - hell ""della Donna Selvatica"" 50 % Vol. 1992 0,7 l",NULL,1,1,1,0.7,"6 cm","6 cm","None",1,120
21584,"Krug Grande Cuvee Brut NV 0,75 l",1,1,1,1,0.75,"0","0,5 cm","lose",1,170
21585,"Pichler, F.X. ""Unendlich"" Riesling Smaragd 2000 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm, Etikett ganz leicht beschädigt, ganz leicht verschmutzt","None",1,140
21586,"Bodegas Berberana Vina Alarde Gran Reserva 1995 0,75 l",1,1,1,1,0.75,"in","in, Etiketten leicht verschmutzt","lose",1,60
21587,"Villa Banfi Cabernet-Sauvignon Tavernelle 1984 1,5 l",NULL,1,1,1,1.5,"hs","hs, Etikett leicht verschmutzt, Kapsel oxidiert, Leckspuren","None",NULL,0
21588,"Pichler, F.X. ""Unendlich"" Riesling Smaragd 2017 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",NULL,0
21589,"Chateau Peyreau 2001 0,75 l",NULL,1,1,1,0.75,"in","in, Etiketten ganz leicht verschmutzt","None",NULL,0
21590,"The Wild Boys of Batonnage Club Batonnage 2008 0,75 l",NULL,1,1,1,0.75,"2 cm","2 cm","None",NULL,0
21591,"Pahlmeyer Proprietary Red 1993 0,75 l",NULL,1,1,1,0.75,"in","in, Etikett ganz leicht beschädigt","None",NULL,0
21592,"Weingüter Wegeler Geheimrat ""J"" Riesling Sekt Brut 1988 0,75 l(1)",1,1,1,1,0.75,"1,5 cm","1,5 cm, Etikett ganz leicht beschädigt","lose",NULL,0
21593,"Weingut Dr. Loosen Erdener Prälat Alte Reben Grosses Gewächs 2011 1,5 l",1,1,1,1,1.5,"0","0,5 cm","1er OHK",NULL,0
21594,"Perrier-Jouet Belle Epoque Brut 1989 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm","None",NULL,0
21595,"Mascarello, B. Barolo 1985 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm, Etikett stark beschädigt","None",NULL,0
21596,"Heymann Löwenstein Winninger Uhlen Laubach Riesling Erste Lage 2005 0,75 l",NULL,1,1,1,0.75,"1","1,5 cm","None",NULL,0
21597,"Jadot, Louis Batard Montrachet Grand Cru 1998 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",NULL,0
21598,"Gaja, Angelo Barbaresco 1987 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm, Etikett ganz leicht beschädigt, ganz leicht verschmutzt","None",1,90
21599,"Weingut Knipser Laumersheimer Kapellenberg Riesling Kabinett trocken 2010 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm","None",1,50
21600,"Antinori Tignanello 2001 0,75 l",NULL,1,1,1,0.75,"in","in, Etikett stark beschädigt","None",1,80
21601,"Pichler, F.X. Grüner Veltliner Von den Terrassen Smaragd 2000 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm","None",1,180
21714,"Gantenbein Pinot Noir 2007 0,75 l",NULL,1,1,1,0.75,"0,5 cm","0,5 cm, Etikett ganz leicht beschädigt","None",1,135
21602,"Chateau d´ Yquem 1971 0,75 l",NULL,1,1,1,0.75,"in","in, Etikett leicht verschmutzt","None",1,445
21603,"Tua Rita Giusto di Notri 2006 0,75 l",1,1,1,1,0.75,"ts","ts","lose",1,100
21604,"Chateau Mouton-Rothschild 1990 0,75 l",NULL,1,1,1,0.75,"ts","ts, Etikett ganz leicht verschmutzt","None",1,300
21605,"Drappier Cuvee Carte d'Or Brut 1998 1,5 l",1,1,1,1,1.5,"0,5 cm","0,5 cm, Etikett ganz leicht beschädigt, ganz leicht verschmutzt, Degorgé en Decembre 2008","lose",1,80
21606,"The Wild Boys of Batonnage Club Batonnage 2014 0,75 l",1,1,1,1,0.75,"0","0,5 cm","lose",1,130
21607,"Pichler, F.X. Dürnsteiner Liebenberg Grüner Veltliner Smaragd 2017 1,5 l",NULL,1,1,1,1.5,"0,5 cm","0,5 cm, Etikett ganz leicht beschädigt","None",1,120
21608,"Quinta do Noval Vintage Port 1966 0,75 l",NULL,1,1,1,0.75,"ts","ts, ohne Etikett, Name und Jahrgang ist auf der Kapselkappe deklariert, Leckspuren, Kapsel oxidiert","None",NULL,0
21609,"Chateau Bon Pasteur 1989 0,75 l",NULL,1,1,1,0.75,"in","in, Etiketten stark verschmutzt","None",1,70
21610,"Bollinger Vintage R.D. Extra Brut 1976 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm, Etikett ganz leicht beschädigt, Degorgé 17.Novembre 1987","None",NULL,0
21611,"Levi, Serafino Grappa - braun  ""della botte piccola"" 52 % Vol. 1984 0,7 l",NULL,1,1,1,0.7,"7,5 cm","7,5 cm, Kapsel ganz leicht beschädigt, Sediment in der Flasche","None",NULL,0
21612,"Bodegas Alejandro Fernandez Pesquera Reserva Especial Janus 1982 0,75 l",NULL,1,1,1,0.75,"in","in, Etikett ganz leicht beschädigt, stark verschmutzt","None",1,65
21613,"Sine Qua Non Atlantis Syrah Fe 203-1c 2005 0,75 l",1,1,1,1,0.75,"in","in","lose",1,400
21614,"Chateau Cheval Blanc 1990 0,75 l",1,1,1,1,0.75,"in","in","lose",1,810
21615,"Dönnhoff Niederhäuser Hermannshöhle Riesling Grosses Gewächs 2015 0,75 l",NULL,1,1,1,0.75,"0,5 cm","0,5 cm, Etiketten ganz leicht beschädigt, ganz leicht verschmutzt","None",1,220
21616,"Chateau Margaux Pavillon Rouge, 2e vin de Margaux 2001 0,75 l",NULL,1,1,1,0.75,"in","in, Etiketten ganz leicht beschädigt","None",NULL,0
21617,"The Wild Boys of Batonnage Club Batonnage 2013 0,75 l",1,1,1,1,0.75,"1","1,5 cm","lose",1,230
21618,"Moet & Chandon   Brut Imperial NV 1,5 l",NULL,1,1,1,1.5,"1 cm","1 cm","None",1,65
21619,"Antinori Chianti Classico Riserva Villa Antinori 1986 3,0 l",NULL,1,1,1,3,"in","in, Etikett ganz leicht verschmutzt","None",1,120
21620,"Mayr, Josephus Lamarein 2015 1,5 l",NULL,1,1,1,1.5,"in","in","None",1,205
21621,"Hardy's HRB Reserve Bin Chardonnay 2016 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,110
21622,"Weil, Robert Kiedricher Gräfenberg Riesling Erstes Gewächs 2016 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,70
21623,"Ferrocinto Magliocco 2012 3,0 l",1,1,1,1,3,"in","in, Leckspuren","1er OHK",1,30
21624,"Taittinger Comtes de Champagne Blanc de Blanc Brut 1975 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,370
21625,"Jermann Were Dreams 1999 0,75 l",NULL,1,1,1,0.75,"2,5 cm","2,5 cm, 2 x Kapseln oxidiert","None",1,105
21626,"Rosemount GSM 2003 0,75 l",NULL,1,1,1,0.75,"2 cm","2 cm, Etiketten ganz leicht verschmutzt","None",1,30
21627,"Chateau Cheval Blanc 1990 0,75 l",1,1,1,1,0.75,"ts","ts","lose",1,750
21628,"Jermann Were Dreams 1989 0,75 l",NULL,1,1,1,0.75,"2,5 cm","2,5 cm, 2 x Kapseln oxidiert","None",NULL,0
21629,"Jadot, Louis Chevalier-Montrachet Les Demoiselles Grand Cru 1998 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,280
21630,"Krug Collection Brut 1962 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm, Depotbildung","None",1,1.5
21631,"Sine Qua Non E-raised Syrah 1998 0,75 l",1,1,1,1,0.75,"in","in","lose",1,580
21632,"Chateau Lafite-Rothschild Carruades de Lafite, 2e Vin de Lafite-Rothschild 2001 0,75 l",NULL,1,1,1,0.75,"in","in","None",1,350
22103,"Autreau de Champillon Milliesime Brut  1993 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,120
21633,"Comte Georges de Vogue Musigny Vieilles Vignes Grand Cru 1990 0,375 l",NULL,1,1,1,0.37,"1 cm","1 cm, Etikett beschädigt, verschmutzt","None",NULL,0
21634,"Case Basse (Soldera) Brunello di Montalcino 1983 0,75 l",1,1,1,1,0.75,"ts","ts, Kapsel ganz leicht beschädigt","lose",NULL,0
21635,"Chateau Musar Chateau Musar (rot) 1989 0,75 l",NULL,1,1,1,0.75,"ts","ts, Etikett ganz leicht verschmutzt","None",1,105
21636,"Veuve Clicquot Ponsardin Brut NV 3,0 l",1,1,1,1,3,"1 cm","1 cm, Etikett leicht beschädigt, ganz leicht verschmutzt, Kapsel ganz leicht beschädigt","lose",1,155
21637,"Chateau Montrose 2005 0,75 l",1,1,1,1,0.75,"in","in, Etikett ganz leicht verschmutzt","lose",1,140
21638,"Stag's Leap Wine Cellars Cabernet Sauvignon ""Artemis"" 2013 0,75 l",NULL,1,1,1,0.75,"in","in, Etiketten ganz leicht verschmutzt","None",1,150
21639,"Chateau Latour Les Forts de Latour, 2e vin de Latour 1995 0,75 l",NULL,1,1,1,0.75,"in","in","None",1,240
21640,"Chateau Margaux Pavillon Rouge, 2e vin de Margaux 2002 0,75 l",1,1,1,1,0.75,"in","in, Etikett ganz leicht verschmutzt","lose",1,90
21641,"Chateau Haut-Brion 1986 0,75 l",NULL,1,1,1,0.75,"1","1,5 cm","None",1,300
21642,"Niepoort Colheita Port 1952 0,75 l",NULL,1,1,1,0.75,"ts","ts, Kapsel beschädigt","None",NULL,0
21643,"Perrier-Jouet Belle Epoque 1999 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm","None",1,90
21644,"Veuve Clicquot Ponsardin La Grande Dame Brut 2006 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,105
21645,"Domaine de Chevalier   Domaine de Chevalier blanc 2004 0,75 l",NULL,1,1,1,0.75,"in","in","None",1,340
21646,"Kühn, Peter Jakob Oestricher Doosberg Riesling Erstes Gewächs 2005 0,75 l(1)",NULL,1,1,1,0.75,"0","0,5 cm","None",1,260
21647,"Jadot, Louis Gevrey Chambertin Clos St. Jacques 1er Cru 1994 0,75 l",NULL,1,1,1,0.75,"2 cm","2 cm, Etiketten ganz leicht beschädigt","None",NULL,0
21648,"Jaboulet Aine, Paul Hermitage La Chapelle 1998 0,75 l",NULL,1,1,1,0.75,"1,5 cm","1,5 cm, Etiketten verschmutzt","None",1,200
21649,"Castello dei Rampolla Sammarco 1997 0,75 l",NULL,1,1,1,0.75,"in-ts","in-ts","None",1,240
21650,"Chateau Lafite-Rothschild 1989 0,75 l",NULL,1,1,1,0.75,"in","in","None",1,530
21651,"Weingut von Winning Kalkofen Riesling Grosses Gewächs 2011 0,75 l",NULL,1,1,1,0.75,"0,5 cm","0,5 cm, Etiketten ganz leicht beschädigt, ganz leicht verschmutzt","None",1,85
21652,"Knoll, Emmerich Loibner Loibenberg Grüner Veltliner Smaragd 2010 0,75 l",NULL,1,1,1,0.75,"0,5 cm","0,5 cm, Etiketten ganz leicht beschädigt","None",1,105
21653,"Dönnhoff Niederhäuser Hermannshöhle Riesling Grosses Gewächs 2009 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",NULL,0
21654,"Henschke Hill of Grace Vineyard Shiraz 1999 0,75 l",NULL,1,1,1,0.75,"in","in, Etikett ganz leicht beschädigt","None",1,400
21655,"Bischöfliches Priesterseminar Kanzemer Altenberg Riesling Auslese 1976 0,75 l(1)",NULL,1,1,1,0.75,"0,5 cm","0,5 cm, Etikett ganz leicht verschmutzt","None",1,225
21656,"Chateau Clerc-Milon Rothschild 2009 0,75 l",NULL,1,1,1,0.75,"in","in","None",1,230
21657,"Chateau Palmer 1992 0,75 l",NULL,1,1,1,0.75,"hf-in","hf-in, Etikett ganz leicht beschädigt","None",1,90
21658,"Pichler, F.X. Dürnsteiner Liebenberg Grüner Veltliner Smaragd 2017 1,5 l",NULL,1,1,1,1.5,"0","0,5 cm","None",NULL,0
21659,"Chateau Rayas Fonsalette Syrah Reserve 1998 0,75 l",NULL,1,1,1,0.75,"0,5 cm","0,5 cm, Etikett ganz leicht verschmutzt","None",NULL,0
21660,"Jadot, Louis Chevalier-Montrachet Les Demoiselles Grand Cru 1998 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",NULL,0
21661,"Chateau Margaux Pavillon Rouge, 2e vin de Margaux 1996 0,75 l",NULL,1,1,1,0.75,"in","in, Etikett ganz leicht verschmutzt","None",NULL,0
21662,"Chateau Palmer 1995 0,75 l",NULL,1,1,1,0.75,"hf-in","hf-in","None",NULL,0
21663,"Chateau Lafite-Rothschild 1995 0,75 l",NULL,1,1,1,0.75,"hf-in","hf-in","None",NULL,0
21664,"Chateau Mouton-Rothschild 1990 0,75 l",NULL,1,1,1,0.75,"ts","ts, Etikett ganz leicht verschmutzt, Kapsel ganz leicht beschädigt","None",NULL,0
21665,"Bertani Recioto della Valpolocella Clasico Superiore 1967 0,75 l(1)",NULL,1,1,1,0.75,"3 cm","3 cm, Etikett ganz leicht verschmutzt","None",NULL,0
21666,"Ferrand, Pierre Cognac Grande Champagne Cigare Reserve Havana 1er Cru NV 0,7 l",1,1,1,1,0.7,"1 cm","1 cm","1er OC",NULL,0
21667,"Clos de L´Oratoire 2000 0,75 l",NULL,1,1,1,0.75,"in","in, Etiketten ganz leicht verschmutzt","None",NULL,0
21668,"Sattlerhof Sernauberg Sauvignon Blanc 2008 0,75 l",NULL,1,1,1,0.75,"in","in","None",1,100
21669,"Leflaive, Olivier Puligny-Montrachet Les Pucelles 1er Cru 2005 1,5 l",NULL,1,1,1,1.5,"0,5 cm","0,5 cm, Etikett ganz leicht verschmutzt","None",1,500
21670,"Masi Amarone della Valpolicella Classico 1996 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm","None",1,70
21671,"Blankiet Paradise Hills Vineyard ""Prince of Hearts"" 2012 0,75 l",NULL,1,1,1,0.75,"in","in","None",NULL,0
21672,"Schäfer, Willi Graacher Domprobst Riesling Auslese 2004 0,75 l",NULL,1,1,1,0.75,"0,5 cm","0,5 cm, Etiketten ganz leicht verschmutzt","None",NULL,0
21673,"Haskell Vineyards Anvil Chardonnay 2018 0,75 l",1,1,1,1,0.75,"0","0,5 cm","lose",1,65
21674,"Bodegas Gallego Zapatero Yotuel Finca La Nava 2010 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm, Etiketten ganz leicht verschmutzt","None",1,100
21675,"Domaine des Comtes Lafon Le Montrachet Grand Cru 1985 0,75 l",NULL,1,1,1,0.75,"4,5 cm","4,5 cm, Kapsel ganz leicht beschädigt","None",NULL,0
21676,"Mondavi Cabernet Sauvignon ""M"" 2009 0,75 l",NULL,1,1,1,0.75,"in","in","None",NULL,0
21677,"Burlotto Barolo Monvigliero 2010 0,75 l",1,1,1,1,0.75,"in","in, Etikett ganz leicht verschmutzt","lose",1,165
21678,"Domaine Weinbach/Faller, Colette Gewürztraminer Mambourg Vendanges Tardives 2001 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,110
21679,"Druk-My-Niet Cabernet-Sauvignon 2014 0,75 l",NULL,1,1,1,0.75,"in","in","None",NULL,0
21680,"Knoll, Emmerich Dürnsteiner Schütt Riesling Smaragd 1999 0,75 l",NULL,1,1,1,0.75,"0,5 cm","0,5 cm, Etikett ganz leicht beschädigt","None",1,75
21681,"Domaine Ponsot Griotte Chambertin Grand Cru 1996 0,75 l",NULL,1,1,1,0.75,"1,5 cm","1,5 cm, Etikett ganz leicht beschädigt, ganz leicht verschmutzt","None",1,190
21682,"Moet & Chandon Dom Perignon Brut 1966 0,75 l",1,1,1,1,0.75,"1,5 cm","1,5 cm, Etikett leicht beschädigt, ganz leicht verschmutzt, Kapsel ganz leicht beschädigt","lose",1,310
21683,"Prieur, Jacques Le Montrachet Grand Cru 2003 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm","None",1,360
21684,"Weingut von Winning Sauvignon Blanc ""500"" 2013 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,210
21685,"Poggio di Sotto Brunello di Montalcino 2010 0,75 l",NULL,1,1,1,0.75,"in-ts","in-ts","None",1,490
21686,"Haskell Vineyards Anvil Chardonnay 2018 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm","None",1,80
21687,"Bodegas Gallego Zapatero Yotuel Finca La Nava 2010 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,90
21715,"Berthaut, V. & D. Gevrey Chambertin Clos des Chezeaux 1er Cru 1995 0,75 l",1,1,1,1,0.75,"2 cm","2 cm, Etiketten ganz leicht verschmutzt","lose",1,170
22161,"Kalleske Shiraz ""Johann Georg"" Old Vine 2014 0,75 l",1,1,1,1,0.75,"in","in","1er OC",NULL,0
21688,"Bryant Family Cabernet Sauvignon 1996 0,75 l",NULL,1,1,1,0.75,"in-ts","in-ts, Etikett ganz leicht verschmutzt","None",1,345
21689,"Chateau Margaux Pavillon Blanc 1998 0,75 l",NULL,1,1,1,0.75,"in","in, Etiketten ganz leicht verschmutzt","None",1,220
21690,"Pichler, F.X. Loibner Berg Riesling Smaragd 2001 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm, Etiketten beschädigt, ganz leicht verschmutzt, Zusatzaufkleber","None",1,120
21691,"Grosset Polish Hill Riesling  2001 0,75 l",NULL,1,1,1,0.75,"0,5 cm","0,5 cm, Etiketten ganz leicht beschädigt, ganz leicht verschmutzt, Zusatzaufkleber","None",1,150
21692,"Salon Le Mesnil Blanc de Blancs Grand Cru Brut 1988 0,75 l",NULL,1,1,1,0.75,"0,5 cm","0,5 cm, Etikett stark beschädigt, ganz leicht verschmutzt","None",1,790
21693,"Penfolds Grange Hermitage 1994 0,75 l",NULL,1,1,1,0.75,"in","in","None",NULL,0
21694,"Chateau Cheval Blanc 2003 1,5 l",1,1,1,1,1.5,"in","in","lose",1,605
21695,"Roederer, Louis Cristal Brut 2007 0,75 l",1,1,1,1,0.75,"0","0,5 cm","1er OC",1,130
21696,"Weingut Keller Westhofen Abtserde Riesling Grosses Gewächs 2010 0,75 l",NULL,1,1,1,0.75,"0,5 cm","0,5 cm, Etikett ganz leicht beschädigt","None",1,195
21697,"Domaine Jean Marie Fourrier Gevrey Chambertin Clos St. Jacques 1er Cru 2002 0,75 l",NULL,1,1,1,0.75,"0,5 cm","0,5 cm, Etikett ganz leicht verschmutzt, US-Re-Import","None",1,325
21698,"Chateau Cheval Blanc 1982 0,75 l",NULL,1,1,1,0.75,"ts","ts, Etikett ganz leicht verschmutzt","None",1,500
21699,"Mascarello, Bartolo Barolo 1985 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm, Etikett stark beschädigt","None",NULL,0
21700,"Domaine Armand Rousseau Chambertin Grand Cru 2001 0,75 l",1,1,1,1,0.75,"0,5 cm","0,5 cm, Etikett ganz leicht verschmutzt, untere linke Ecke am Etikett ist umgeklappt","lose",NULL,0
21701,"Fürst, Rudolf Bürgstadter Hundsrück Spätburgunder  Grosses Gewächs 2012 0,75 l",NULL,1,1,1,0.75,"0,5 cm","0,5 cm, Etiketten ganz leicht beschädigt, ganz leicht verschmutzt","None",1,330
21702,"Bodegas Vega Sicilia Unico Gran Reserva 1998 1,5 l",1,1,1,1,1.5,"in","in, Etikett ganz leicht verschmutzt","1er OHK",1,605
21703,"Ridge Cabernet Sauvignon ""Monte Bello"" 1995 0,75 l",NULL,1,1,1,0.75,"in","in, Etikett ganz leicht beschädigt","None",1,170
21704,"Penfolds Grange Hermitage 1982 0,75 l",NULL,1,1,1,0.75,"in","in, Etikett ganz leicht verschmutzt","None",1,330
21705,"Autreau de Champillon Cuvee Millinaire 2000 Grand Cru Brut NV 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,130
21706,"Mas Blanc Banyuls 1979 0,75 l(3)",NULL,1,1,1,0.75,"ts","ts, Etiketten ganz leicht verschmutzt, leicht kellergrau","None",1,60
21707,"Chateau Coutet 1997 0,75 l",NULL,1,1,1,0.75,"in","in","None",1,85
21708,"Chateau Montrose La Dame de Montrose, 2e vin de Montrose 2010 0,75 l",1,1,1,1,0.75,"in","in","6er OHK",1,330
21709,"Chateau Haut-Brion 1993 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm, Etikett ganz leicht verschmutzt","None",1,260
21710,"Chateau Haut-Brion 1993 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm, Etikett leicht verschmutzt","None",1,260
21711,"Chateau Haut-Brion 1993 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm, Etikett ganz leicht verschmutzt","None",1,250
21712,"Gantenbein Pinot Noir 2004 0,75 l",NULL,1,1,1,0.75,"0,5 cm","0,5 cm, Etikett leicht beschädigt, ganz leicht verschmutzt","None",1,130
22191,"Latour, Louis Chablis La Chanfleure 2016 0,75 l(2)",NULL,1,1,1,0.75,"0","0,5 cm","None",1,95
21716,"La Rioja Alta Gran Reserva 904 2001 0,75 l",NULL,1,1,1,0.75,"in","in","None",1,285
21717,"Niepoort Late Bottled Vintage Port 2007 0,75 l(2)",NULL,1,1,1,0.75,"in","in","None",1,95
21718,"The Wild Boys of Batonnage Club Batonnage 2014 0,75 l",1,1,1,1,0.75,"1 cm","1 cm","lose",1,210
21719,"Gantenbein Pinot Noir  2015 0,75 l",1,1,1,1,0.75,"0","0,5 cm","lose",1,130
21720,"Gantenbein Pinot Noir  2015 0,75 l",1,1,1,1,0.75,"0","0,5 cm","lose",1,100
21721,"Gantenbein Pinot Noir  2015 0,75 l",1,1,1,1,0.75,"0","0,5 cm","lose",1,110
21722,"Moet & Chandon Dom Perignon Brut 1982 0,75 l",1,1,1,1,0.75,"1 cm","1 cm, Etikett ganz leicht beschädigt, Kapsel ganz leicht beschädigt","lose",1,200
21723,"Chateau Lafite-Rothschild 1989 0,75 l",1,1,1,1,0.75,"in","in","lose",1,530
21724,"Weingut Keller Westhofener Kirchspiel Riesling Grosses Gewächs 2009 1,5 l",NULL,1,1,1,1.5,"1 cm","1 cm, Etikett beschädigt, Kapsel ganz leicht beschädigt","None",1,700
21725,"Ornellaia 2009 1,5 l",NULL,1,1,1,1.5,"in","in, designed by Zhang Huan ""Konfuzius""","None",1,460
21727,"Pichler, F.X. Grüner Veltliner M Smaragd 2017 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,270
21728,"Weingut Pfeffingen Ungsteiner Herrenberg Riesling Großes Gewächs 2011 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,110
