"id","name","packaging_signalled","bottlesize_signalled","fill_level_signalled","state_signalled","bottlesize_l","fill_level","state","packaging","sold","price"
43135,"Domaine Jean-Louis Chave Hermitage Blanc 2018 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,340
43136,"Domaine Jean-Louis Chave Hermitage Blanc 2019 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,285
43137,"Domaine Jean-Louis Chave Hermitage rouge 2019 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,390
43138,"Domaine Jean-Louis Chave Hermitage rouge 2019 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,430
43139,"Domaine Jean-Louis Chave Hermitage rouge 2019 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,460
43140,"Domaine Jean-Louis Chave Hermitage rouge 2019 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,440
43141,"Domaine Jean-Louis Chave Hermitage rouge 2019 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,460
43142,"Domaine Jean-Louis Chave Hermitage rouge 2019 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,460
43143,"Domaine Jean-Louis Chave Saint Joseph rouge 2011 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,420
43144,"Domaine Jean-Louis Chave Saint Joseph rouge 2012 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,460
43145,"Chateau Leoville-Poyferre 1995 0,75 l",1,1,1,1,0.75,"in","in","12er OHK",1,660
43146,"Chateau Leoville-Poyferre 1996 0,75 l",1,1,1,1,0.75,"in-ts","in-ts, Kapsel ganz leicht beschädigt","12er OHK",1,1.28
43147,"Chateau Leoville-Poyferre 1999 0,75 l",NULL,1,1,1,0.75,"ts","ts, Etiketten ganz leicht verschmutzt","None",1,360
43148,"Chateau Leoville-Poyferre 2001 0,75 l",1,1,1,1,0.75,"in","in","12er OHK",1,860
43150,"Chateau d´ Yquem 1980 0,75 l",NULL,1,1,1,0.75,"ts","ts, Etikett verschmutzt, Kapsel ganz leicht beschädigt","None",1,270
43151,"Chateau d´ Yquem 1994 0,375 l",NULL,1,1,1,0.37,"in","in","None",1,220
43152,"Chateau Doisy-Vedrines 1995 0,75 l",NULL,1,1,1,0.75,"ts","ts, Etiketten ganz leicht verschmutzt","None",1,100
43153,"Chateau Doisy-Vedrines 1997 0,75 l",1,1,1,1,0.75,"in","in","12er OHK",1,330
43154,"Chateau Doisy-Vedrines 1999 0,75 l",1,1,1,1,0.75,"in","in, Kapsel ganz leicht beschädigt","12er OHK",1,320
43155,"Pichler-Krutzler Loibner Loibenberg Riesling 2017 3,0 l",NULL,1,1,1,3,"1","1,5 cm","None",NULL,0
43156,"Pichler-Krutzler Loibner Loibenberg Riesling 2017 5,0 l",NULL,1,1,1,5,"1","1,5 cm","None",NULL,0
43157,"Pichler-Krutzler Loibner Loibenberg Riesling 2019 1,5 l",NULL,1,1,1,1.5,"2 cm","2 cm","None",NULL,0
43158,"Pichler, F.X. Dürnsteiner Kellerberg Grüner Veltliner Smaragd 2019 3,0 l",1,1,1,1,3,"2 cm","2 cm, Flasche 28/43","1er OHK",1,380
43159,"Pichler, F.X. Dürnsteiner Kellerberg Riesling Smaragd 2018 3,0 l",1,1,1,1,3,"2 cm","2 cm, Etikett ganz leicht beschädigt, Flasche 25/40","1er OHK",1,410
43160,"Pichler, F.X. Dürnsteiner Liebenberg Grüner Veltliner Smaragd 2019 3,0 l",1,1,1,1,3,"1 cm","1 cm, Flasche 06/13","1er OHK",1,350
43161,"Pichler, F.X. Grüner Veltliner M Smaragd 2019 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,390
43162,"Pichler, F.X. Grüner Veltliner M Smaragd 2019 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",NULL,0
43163,"Pichler, F.X. Grüner Veltliner M Smaragd 2019 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,390
43164,"Penfolds Grange Hermitage 1989 0,75 l",NULL,1,1,1,0.75,"in","in, Etikett ganz leicht beschädigt, leicht verschmutzt","None",1,540
43165,"Chateau Leoville-Barton 2010 0,75 l",1,1,1,1,0.75,"in","in","12er OHK",1,1.2
43166,"Chateau Leoville-Poyferre 2010 0,75 l",1,1,1,1,0.75,"in","in","12er OHK",1,1.46
43167,"Chateau Leoville-Poyferre 2010 0,75 l",1,1,1,1,0.75,"in","in","12er OHK",1,1.46
43168,"Chateau Rauzan-Segla 2018 0,75 l",1,1,1,1,0.75,"in","in","6er OHK",1,750
43169,"Chateau Rauzan-Segla 2018 0,75 l",1,1,1,1,0.75,"in","in","6er OHK",1,710
43170,"Chateau Rauzan-Segla 2019 0,75 l",1,1,1,1,0.75,"in","in","6er OHK",1,630
43171,"Chateau Rauzan-Segla 2019 0,75 l",1,1,1,1,0.75,"in","in","6er OHK",1,630
43172,"Chateau Lynch-Bages 2018 0,75 l",1,1,1,1,0.75,"in","in","6er OHK",1,780
43173,"Chateau Lynch-Bages 2018 0,75 l",1,1,1,1,0.75,"in","in","6er OHK",1,820
43174,"Chateau Lynch-Bages 2019 0,75 l",1,1,1,1,0.75,"in","in","6er OHK",1,730
43202,"Fonseca Vintage Port Guimaraens 1996 0,75 l",NULL,1,1,1,0.75,"ts","ts, Etiketten ganz leicht beschädigt","None",1,150
43175,"Weingut Keller Morstein ""Felix"" Spätburgunder Grosses Gewächs 2018 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,500
43176,"Staatsweingüter Kloster Eberbach Rauenthaler Baiken Riesling Trockenbeerenauslese Cabinetkeller 2011 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",NULL,0
43177,"Weingut Dr. Heger Achkarrer Schlossberg Grauburgunder Grosses Gewächs 2011 0,75 l(4)",NULL,1,1,1,0.75,"0","0,5 cm","None",1,260
43178,"Huet, Gaston Vouvray le Mont demi sec 1976 0,75 l",NULL,1,1,1,0.75,"6 cm","6 cm, Etiketten ganz leicht beschädigt, leicht verschmutzt, kellergrau, Kapsel beschädigt, Kapseln oxidiert und korrodiert","None",NULL,0
43179,"Weingut Kees-Kieren Graacher Domprobst Riesling Auslese*** Versteigerungswein 2018 0,375 l(3)",NULL,1,1,1,0.37,"0","0,5 cm","None",1,120
43180,"Chateau Latour 1994 0,75 l",1,1,1,1,0.75,"in","in","lose",1,375
43181,"Chateau Latour 1994 0,75 l",1,1,1,1,0.75,"in","in","lose",1,345
43182,"Chateau Pichon Longueville Comtesse de Lalande 2002 0,75 l(1)",1,1,1,1,0.75,"in","in","lose",1,240
43183,"Marques de Murrieta Castillo Ygay Gran Reserva Especial 1970 0,75 l",1,1,1,1,0.75,"in","in","lose",1,460
43184,"Domaine Drouhin Laroze Chambertin Clos de Beze Grand Cru 2010 1,5 l",1,1,1,1,1.5,"0,5 cm","0,5 cm, Etikett ganz leicht beschädigt, ganz leicht verschmutzt","lose",1,565
43185,"Viberti, Giovanni Barolo Riserva La Volta 2007 0,75 l",1,1,1,1,0.75,"0","0,5 cm","6er OHK",1,230
43186,"Ornellaia Le Serre Nuove dell Ornellaia 2013 1,5 l",1,1,1,1,1.5,"in","in, mit Originalband verschlossen, Füllstand geschätzt","1er OHK",1,140
43187,"Bodegas Vega Sicilia Valbuena 5 annos 2007 1,5 l",1,1,1,1,1.5,"in","in","1er OHK",1,290
43188,"Chateau Grand La Lagune 1940 0,75 l",NULL,1,1,1,0.75,"hs","hs, Etikett stark beschädigt, verschmutzt, leicht kellergrau, Kapsel beschädigt, Händlerabfüllung","None",1,150
43189,"Chateau Grand La Lagune 1940 0,75 l",NULL,1,1,1,0.75,"hs","hs, Etikett stark beschädigt, verschmutzt, leicht kellergrau, Händlerabfüllung","None",1,130
43190,"Chateau La Lagune 1971 0,75 l(1)",NULL,1,1,1,0.75,"ts","ts, Etikett leicht verschmutzt, leicht kellergrau, Kapsel beschädigt","None",1,115
43191,"Clemens Strobl Grüner Veltliner ""Schreckenberg"" 2011 0,75 l",NULL,1,1,1,0.75,"1","1,5 cm","None",1,150
43192,"Autreau de Champillon Brut 1er Cru NV 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm","None",1,110
43193,"Autreau de Champillon Brut 1er Cru NV 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm","None",1,110
43194,"Chateau Lafite-Rothschild 1943 0,75 l",1,1,1,1,0.75,"ms","ms, Etikett beschädigt, stark verschmutzt, kellergrau, Kapsel beschädigt","lose",NULL,0
