"id","name","sold","bottlesize_l","winpoints_signalled"
21645,"Domaine de Chevalier   Domaine de Chevalier blanc 2004 0,75 l",1,0.75,1
21646,"Kühn, Peter Jakob Oestricher Doosberg Riesling Erstes Gewächs 2005 0,75 l(1)",1,0.75,NULL
21647,"Jadot, Louis Gevrey Chambertin Clos St. Jacques 1er Cru 1994 0,75 l",NULL,0.75,NULL
21648,"Jaboulet Aine, Paul Hermitage La Chapelle 1998 0,75 l",1,0.75,1
21649,"Castello dei Rampolla Sammarco 1997 0,75 l",1,0.75,1
21650,"Chateau Lafite-Rothschild 1989 0,75 l",1,0.75,1
21651,"Weingut von Winning Kalkofen Riesling Grosses Gewächs 2011 0,75 l",1,0.75,NULL
21652,"Knoll, Emmerich Loibner Loibenberg Grüner Veltliner Smaragd 2010 0,75 l",1,0.75,NULL
21653,"Dönnhoff Niederhäuser Hermannshöhle Riesling Grosses Gewächs 2009 0,75 l",NULL,0.75,1
21654,"Henschke Hill of Grace Vineyard Shiraz 1999 0,75 l",1,0.75,1
21655,"Bischöfliches Priesterseminar Kanzemer Altenberg Riesling Auslese 1976 0,75 l(1)",1,0.75,NULL
21656,"Chateau Clerc-Milon Rothschild 2009 0,75 l",1,0.75,1
21657,"Chateau Palmer 1992 0,75 l",1,0.75,NULL
21658,"Pichler, F.X. Dürnsteiner Liebenberg Grüner Veltliner Smaragd 2017 1,5 l",NULL,1.5,1
21659,"Chateau Rayas Fonsalette Syrah Reserve 1998 0,75 l",NULL,0.75,1
21660,"Jadot, Louis Chevalier-Montrachet Les Demoiselles Grand Cru 1998 0,75 l",NULL,0.75,1
21661,"Chateau Margaux Pavillon Rouge, 2e vin de Margaux 1996 0,75 l",NULL,0.75,NULL
21662,"Chateau Palmer 1995 0,75 l",NULL,0.75,1
21663,"Chateau Lafite-Rothschild 1995 0,75 l",NULL,0.75,1
21664,"Chateau Mouton-Rothschild 1990 0,75 l",NULL,0.75,NULL
21665,"Bertani Recioto della Valpolocella Clasico Superiore 1967 0,75 l(1)",NULL,0.75,NULL
21666,"Ferrand, Pierre Cognac Grande Champagne Cigare Reserve Havana 1er Cru NV 0,7 l",NULL,0.7,NULL
21667,"Clos de L´Oratoire 2000 0,75 l",NULL,0.75,1
21668,"Sattlerhof Sernauberg Sauvignon Blanc 2008 0,75 l",1,0.75,NULL
21669,"Leflaive, Olivier Puligny-Montrachet Les Pucelles 1er Cru 2005 1,5 l",1,1.5,1
21670,"Masi Amarone della Valpolicella Classico 1996 0,75 l",1,0.75,NULL
21671,"Blankiet Paradise Hills Vineyard ""Prince of Hearts"" 2012 0,75 l",NULL,0.75,NULL
21672,"Schäfer, Willi Graacher Domprobst Riesling Auslese 2004 0,75 l",NULL,0.75,NULL
21673,"Haskell Vineyards Anvil Chardonnay 2018 0,75 l",1,0.75,NULL
21674,"Bodegas Gallego Zapatero Yotuel Finca La Nava 2010 0,75 l",1,0.75,NULL
21675,"Domaine des Comtes Lafon Le Montrachet Grand Cru 1985 0,75 l",NULL,0.75,NULL
21676,"Mondavi Cabernet Sauvignon ""M"" 2009 0,75 l",NULL,0.75,1
21677,"Burlotto Barolo Monvigliero 2010 0,75 l",1,0.75,1
21678,"Domaine Weinbach/Faller, Colette Gewürztraminer Mambourg Vendanges Tardives 2001 0,75 l",1,0.75,1
21679,"Druk-My-Niet Cabernet-Sauvignon 2014 0,75 l",NULL,0.75,NULL
21680,"Knoll, Emmerich Dürnsteiner Schütt Riesling Smaragd 1999 0,75 l",1,0.75,1
21681,"Domaine Ponsot Griotte Chambertin Grand Cru 1996 0,75 l",1,0.75,NULL
21682,"Moet & Chandon Dom Perignon Brut 1966 0,75 l",1,0.75,NULL
21683,"Prieur, Jacques Le Montrachet Grand Cru 2003 0,75 l",1,0.75,NULL
21684,"Weingut von Winning Sauvignon Blanc ""500"" 2013 0,75 l",1,0.75,NULL
21685,"Poggio di Sotto Brunello di Montalcino 2010 0,75 l",1,0.75,1
21686,"Haskell Vineyards Anvil Chardonnay 2018 0,75 l",1,0.75,NULL
21687,"Bodegas Gallego Zapatero Yotuel Finca La Nava 2010 0,75 l",1,0.75,NULL
21715,"Berthaut, V. & D. Gevrey Chambertin Clos des Chezeaux 1er Cru 1995 0,75 l",1,0.75,NULL
22161,"Kalleske Shiraz ""Johann Georg"" Old Vine 2014 0,75 l",NULL,0.75,NULL
21688,"Bryant Family Cabernet Sauvignon 1996 0,75 l",1,0.75,1
21689,"Chateau Margaux Pavillon Blanc 1998 0,75 l",1,0.75,1
21690,"Pichler, F.X. Loibner Berg Riesling Smaragd 2001 0,75 l",1,0.75,NULL
21691,"Grosset Polish Hill Riesling  2001 0,75 l",1,0.75,1
21692,"Salon Le Mesnil Blanc de Blancs Grand Cru Brut 1988 0,75 l",1,0.75,NULL
21693,"Penfolds Grange Hermitage 1994 0,75 l",NULL,0.75,1
21694,"Chateau Cheval Blanc 2003 1,5 l",1,1.5,1
21695,"Roederer, Louis Cristal Brut 2007 0,75 l",1,0.75,1
21696,"Weingut Keller Westhofen Abtserde Riesling Grosses Gewächs 2010 0,75 l",1,0.75,1
21697,"Domaine Jean Marie Fourrier Gevrey Chambertin Clos St. Jacques 1er Cru 2002 0,75 l",1,0.75,NULL
21698,"Chateau Cheval Blanc 1982 0,75 l",1,0.75,1
21699,"Mascarello, Bartolo Barolo 1985 0,75 l",NULL,0.75,NULL
21700,"Domaine Armand Rousseau Chambertin Grand Cru 2001 0,75 l",NULL,0.75,1
21701,"Fürst, Rudolf Bürgstadter Hundsrück Spätburgunder  Grosses Gewächs 2012 0,75 l",1,0.75,NULL
21702,"Bodegas Vega Sicilia Unico Gran Reserva 1998 1,5 l",1,1.5,1
21703,"Ridge Cabernet Sauvignon ""Monte Bello"" 1995 0,75 l",1,0.75,1
21704,"Penfolds Grange Hermitage 1982 0,75 l",1,0.75,1
21705,"Autreau de Champillon Cuvee Millinaire 2000 Grand Cru Brut NV 0,75 l",1,0.75,NULL
21706,"Mas Blanc Banyuls 1979 0,75 l(3)",1,0.75,NULL
21707,"Chateau Coutet 1997 0,75 l",1,0.75,1
21708,"Chateau Montrose La Dame de Montrose, 2e vin de Montrose 2010 0,75 l",1,0.75,1
21709,"Chateau Haut-Brion 1993 0,75 l",1,0.75,1
21710,"Chateau Haut-Brion 1993 0,75 l",1,0.75,1
21711,"Chateau Haut-Brion 1993 0,75 l",1,0.75,1
21712,"Gantenbein Pinot Noir 2004 0,75 l",1,0.75,NULL
22191,"Latour, Louis Chablis La Chanfleure 2016 0,75 l(2)",1,0.75,NULL
21716,"La Rioja Alta Gran Reserva 904 2001 0,75 l",1,0.75,1
21717,"Niepoort Late Bottled Vintage Port 2007 0,75 l(2)",1,0.75,NULL
21718,"The Wild Boys of Batonnage Club Batonnage 2014 0,75 l",1,0.75,NULL
21719,"Gantenbein Pinot Noir  2015 0,75 l",1,0.75,NULL
21720,"Gantenbein Pinot Noir  2015 0,75 l",1,0.75,NULL
21721,"Gantenbein Pinot Noir  2015 0,75 l",1,0.75,NULL
21722,"Moet & Chandon Dom Perignon Brut 1982 0,75 l",1,0.75,1
21723,"Chateau Lafite-Rothschild 1989 0,75 l",1,0.75,1
21724,"Weingut Keller Westhofener Kirchspiel Riesling Grosses Gewächs 2009 1,5 l",1,1.5,1
21725,"Ornellaia 2009 1,5 l",1,1.5,1
21727,"Pichler, F.X. Grüner Veltliner M Smaragd 2017 0,75 l",1,0.75,1
21728,"Weingut Pfeffingen Ungsteiner Herrenberg Riesling Großes Gewächs 2011 0,75 l",1,0.75,NULL
21729,"Almeida de, Manuel Vinho Velho Garrafeira Particular 1942 0,75 l",NULL,0.75,NULL
21730,"Peters, Pierre Cuvee Speciale Les Chétillons Blanc de Blancs Grand Cru Le Mesnil Brut 2002 0,75 l",1,0.75,1
21731,"Cossart Gordon & Co. Madeira Bual 1958 0,75 l",1,0.75,NULL
21732,"Tenuta San Guido Sassicaia 2002 0,75 l",1,0.75,NULL
21733,"Chateau Lynch-Bages 2001 0,75 l",1,0.75,1
21734,"Chateau Mouton-Rothschild 2003 0,75 l",1,0.75,1
21735,"Leitz, Josef Rüdesheimer Berg Rottland Riesling ""Alte Reben"" Goldkapsel trocken 2006 0,75 l",1,0.75,NULL
21736,"Flagman's Colheita Port 1941 0,75 l",NULL,0.75,NULL
21737,"Koehler-Ruprecht Kallstadter Saumagen Riesling Auslese trocken 2005 0,75 l",1,0.75,NULL
21738,"Gosset Grand Millesime Brut 1975 0,75 l",1,0.75,NULL
21739,"Clarendon Hills Cabernet Sauvignon ""Hickinbotham Vineyard"" 1998 0,75 l",NULL,0.75,NULL
21740,"Caymus Cabernet Sauvignon 1997 1,5 l",1,1.5,NULL
21741,"Ca ´del Bosco Franciacorta Cuvee Annamaria Clementi Brut 1990 3,0 l",1,3,1
21742,"Bodegas Muga Torre Muga 1994 0,75 l",1,0.75,1
21743,"Chateau Lafite-Rothschild Carruades de Lafite, 2e Vin de Lafite-Rothschild 2006 0,75 l",1,0.75,1
21744,"Erika Obermeyer Sauvignon Blanc 2017 0,75 l",1,0.75,NULL
21908,"Burgaud, Bernard Cote Rotie 1986 0,75 l(1)",1,0.75,NULL
21745,"Chateau L´If 2016 0,75 l",NULL,0.75,1
21746,"Clos Saint Jean Chateauneuf-du-Pape 2008 0,75 l",1,0.75,1
21747,"Quilceda Creek Cabernet Sauvignon 2015 0,75 l",1,0.75,1
21748,"Ridge Cabernet Sauvignon ""Santa Cruz"" 1995 0,75 l",1,0.75,NULL
21749,"Chateau La Tour Figeac 1986 0,75 l(1)",1,0.75,NULL
21750,"Pichler, F.X. Dürnsteiner Kellerberg Riesling Smaragd 2005 0,75 l(2)",1,0.75,1
21751,"Chateau Lafite-Rothschild 1999 0,75 l",1,0.75,1
21752,"Chateau Lynch-Bages 2002 0,75 l(1)",1,0.75,1
21753,"Feudi di San Gregorio Serpico 2003 0,75 l",1,0.75,NULL
21754,"Chateau Leydet-Figeac 1994 0,75 l(1)",1,0.75,NULL
21755,"Il Marroneto Brunello di Montalcino Madonna delle Grazie 2004 0,75 l",1,0.75,NULL
21756,"Chateau l´Angelus 1988 0,75 l",1,0.75,1
21757,"Tenuta il Poggione Brunello di Montalcino 2004 0,75 l",1,0.75,1
21758,"Chateau La Mission-Haut-Brion 1986 0,75 l",1,0.75,1
21759,"Chateau l´Angelus 1994 1,5 l",1,1.5,1
21760,"Chateau Parempuyre 1948 0,75 l(1)",1,0.75,NULL
21761,"Chateau de Beaucastel Chateauneuf-du-Pape Hommage a Jacques Perrin 2003 0,75 l",NULL,0.75,1
21762,"Chateau Haut-Bailly 1990 0,75 l(1)",1,0.75,1
21763,"Bodegas Vega Sicilia Alion Reserva 1992 0,75 l(1)",1,0.75,NULL
21764,"Chateau Pontet-Canet 1949 0,75 l(1)",1,0.75,NULL
21765,"Chateau Montrose 2005 0,75 l",1,0.75,1
21766,"Chateau Haut-Brion 1996 0,75 l",1,0.75,1
21767,"Brancaia Il Blu 2013 0,75 l(1)",1,0.75,1
21768,"Kracher Chardonnay Nr. 3 Nouvelle Vague Trockenbeerenauslese 2000 0,375 l(1)",1,0.37,1
21769,"Chateau Batailley 1995 0,75 l(1)",1,0.75,NULL
21770,"Bacio Divino Proprietary Red 2000 0,75 l(5)",NULL,0.75,1
21771,"Chateau de Laubade Bas Armagnac 1979 0,7 l",NULL,0.7,NULL
21772,"Poggio Scalette Il Carbonaione 1997 0,75 l(1)",1,0.75,1
21773,"Chateau Margaux 1987 0,75 l",NULL,0.75,NULL
21774,"Lisini Brunello di Montalcino Ugolaia 2004 0,75 l",NULL,0.75,1
21775,"Kühn, Peter Jakob Mittelheimer St.Nikolaus Riesling Erstes Gewächs 2005 0,75 l",1,0.75,NULL
21776,"Kongsgaard Syrah 2004 0,75 l",1,0.75,1
21777,"Poggio Scalette Capogatto 2008 0,75 l",1,0.75,1
21778,"Prunotto Barolo Cannubi 1993 0,75 l",1,0.75,NULL
21779,"Penfolds Cabernet Sauvignon Bin 707 2009 0,75 l",1,0.75,1
21780,"Dönnhoff Niederhäuser Hermannshöhle Riesling Grosses Gewächs 2009 0,75 l",NULL,0.75,1
21781,"Chateau Grand-Puy-Ducasse 1989 0,75 l(1)",NULL,0.75,1
21782,"Weil, Robert Kiedricher Gräfenberg Riesling Erstes Gewächs 2015 0,75 l",1,0.75,1
21783,"Pommery Cuveé Louise Brut 2003 0,75 l",1,0.75,NULL
21784,"Chateau Palmer 1989 0,75 l",1,0.75,1
21785,"Deutz Blanc de Blancs Brut 1973 0,75 l",1,0.75,NULL
21786,"Schubert von, Carl Gutsverwaltung Maximin Grünhäuser Herrenberg Riesling Auslese trocken 1989 0,75 l(1)",NULL,0.75,NULL
21787,"Chateau Leoville-Barton 1996 0,75 l",1,0.75,1
21788,"Ornellaia 1995 0,75 l",1,0.75,1
21789,"Domaine Ramonet Chassagne-Montrachet Morgeot 1er Cru 1989 0,75 l",1,0.75,NULL
21790,"Chateau Mouton-Rothschild Le Petit Mouton 2005 0,75 l",1,0.75,1
21791,"Moet & Chandon Dom Perignon Brut 1978 0,75 l",1,0.75,NULL
21792,"Clos Saint Jean Chateauneuf-du-Pape 2008 0,75 l",1,0.75,1
21793,"Gaja, Angelo Barolo Sperss 1994 0,75 l",1,0.75,NULL
21794,"Quintarelli, Giuseppe Cabernet Franc Alzero 1984 0,75 l",1,0.75,NULL
22414,"Patz & Hall Chardonnay 2015 0,75 l",1,0.75,NULL
21795,"Chateau Pavie 1985 0,75 l",1,0.75,1
21796,"Chateau Mouton-Rothschild 1989 0,75 l(11)",1,0.75,1
21797,"Christoffel, Jos. jun. Erdener Prälat Riesling Auslese *** 2010 0,75 l",1,0.75,NULL
21798,"Comte Georges de Vogue Musigny Vieilles Vignes Grand Cru 2000 1,5 l",NULL,1.5,1
21799,"Chateau Larrivet-Haut-Brion 2001 0,75 l",1,0.75,1
21800,"Gaja, Angelo Barbaresco 1985 0,75 l",1,0.75,NULL
21801,"Krug Vintage Brut 1998 0,75 l",1,0.75,1
21802,"Moet & Chandon Dom Perignon ""Luminous"" Rose Brut 2002 1,5 l",1,1.5,1
21803,"Bodegas Riojanas Monte Real Gran Reserva 1994 0,75 l(2)",1,0.75,NULL
21804,"Bollinger Grande Annee Brut 2002 0,75 l",1,0.75,1
21805,"Bollinger Grande Annee Brut 2002 0,75 l",1,0.75,1
21806,"Koehler-Ruprecht Kallstadter Saumagen Riesling Auslese ""R"" trocken 2005 0,75 l",1,0.75,NULL
21807,"Koehler-Ruprecht Kallstadter Saumagen Riesling Auslese ""RR"" trocken 2007 0,75 l",1,0.75,NULL
21808,"Weingut Dr. von Bassermann-Jordan Forster Ungeheuer Riesling Eiswein 1996 0,375 l(1)",NULL,0.37,NULL
21809,"Chateau Sociando-Mallet 1995 0,75 l(1)",NULL,0.75,1
21810,"Chateau Pavie 1988 0,75 l(1)",NULL,0.75,NULL
21812,"Bodegas Alejandro Fernandez Dehesa La Granja 2001 0,75 l(1)",NULL,0.75,1
21813,"Allegrini Recioto della Valpolicella Classico 1990 0,75 l(1)",NULL,0.75,NULL
21814,"Chateau La Tour Haut Caussan 1989 0,75 l",NULL,0.75,NULL
21815,"Jadot, Louis Gevrey Chambertin Clos St. Jacques 1er Cru 1994 0,75 l",NULL,0.75,NULL
21816,"Villa Banfi Tavernelle 1984 1,5 l",NULL,1.5,NULL
21817,"Weingut Fritz Haag Brauneberger Juffer Sonnenuhr Riesling Auslese 1998 0,75 l(1)",NULL,0.75,NULL
21818,"Krug Rosé Brut NV 0,75 l",1,0.75,1
21819,"Chateau Mouton-Rothschild 1996 6,0 l",1,6,1
21820,"Chateau Rieussec 1975 0,75 l",1,0.75,NULL
21821,"Chateau Citran 1997 0,75 l(10)",1,0.75,1
21822,"Bodegas Gallego Zapatero Yotuel Vinas Viejas 2005 0,75 l",1,0.75,NULL
21936,"Chateau du Vieux Guinot 2010 0,75 l(1)",NULL,0.75,NULL
21823,"Domaine Allary Haut-Brion Allary Haut-Brion rouge 2010 0,75 l",NULL,0.75,1
21824,"Chateau Grand-Puy-Lacoste 1993 0,75 l",1,0.75,NULL
21825,"Domaine Allary Haut-Brion Allary Haut-Brion rouge 2010 0,75 l",NULL,0.75,1
21826,"Hirtzberger, Franz Hochrain Riesling Smaragd 2016 0,75 l",1,0.75,1
21827,"Bodegas Gallego Zapatero Yotuel Vinas Viejas 2005 0,75 l",1,0.75,NULL
21828,"Weingut Keller Dalsheimer Hubacker Riesling Auslese trocken 1997 0,75 l",1,0.75,NULL
21829,"Jadot, Louis Corton Charlemagne Grand Cru 1996 3,0 l",1,3,1
21830,"Chateau Mouton-Rothschild 2003 0,75 l",1,0.75,1
21831,"Teruzzi & Puthod Terre di Tufi bianco 2008 3,0 l",1,3,NULL
21832,"Weingut Johann Topf Grüner Veltliner Strassertal 2009 6,0 l",1,6,NULL
21833,"Ornellaia Masseto Merlot 2005 0,75 l",1,0.75,1
21834,"Hirtzberger, Franz Spitzer Honivogl Grüner Veltliner Smaragd 2017 1,5 l",1,1.5,1
21835,"Moet & Chandon Dom Perignon Brut 2002 1,5 l",1,1.5,1
21836,"Weingut Krutzler Perwolff 2000 0,75 l",1,0.75,1
21837,"Chateau Chasse-Spleen 1989 0,75 l",1,0.75,1
21838,"Chateau Haut-Brion 1988 0,75 l",1,0.75,1
21839,"Chateau Beauséjour-Duffau-Lagarosse 2009 0,75 l",1,0.75,1
21840,"Fürst von Metternich-Winneburg'sches Domänen Rentamt/ Schloß Johannisberg Schloß Johannisberg Rosalack Riesling Auslese 1953 0,75 l",NULL,0.75,NULL
21841,"Castellare Coniale 1991 0,75 l(1)",NULL,0.75,NULL
21842,"Pichler, F.X. Loibner Steinertal Riesling halbtrocken 2001 0,75 l",1,0.75,NULL
21843,"Weingut Friedrich Becker Blauer Spätburgunder Tafelwein 1996 1,5 l(1)",1,1.5,NULL
21844,"Weingut Müller-Catoir Mußbacher Eselshaut Rieslaner Trockenbeerenauslese 2001 0,375 l",NULL,0.37,NULL
21845,"Chateau Brane-Cantenac 1996 0,75 l",1,0.75,NULL
21846,"Anheuser, August Kreuznacher Mönchberg Riesling Auslese 1988 0,75 l",NULL,0.75,NULL
21847,"Bodegas Senorio Gran Paulet Reserva 1984 0,5 l",NULL,0.5,NULL
21848,"Domaine Saint-Ser Cuvee Prestige Rouge 2014 0,75 l",NULL,0.75,NULL
21849,"Mondavi/Rothschild Opus One 1981 0,75 l",1,0.75,NULL
21850,"La Rioja Alta Gran Reserva 904 2001 0,75 l",1,0.75,1
21851,"Chateau Marquis-de-Terme 1990 0,75 l(3)",1,0.75,NULL
21852,"Chateau Langoa-Barton 2008 0,75 l",1,0.75,1
21853,"Chateau Gruaud-Larose 1995 0,75 l(1)",NULL,0.75,1
21854,"Bodegas Castano Hoya Munoz 2005 0,75 l",1,0.75,NULL
