"fill_level"
"3 cm"
"lms"
"0,5 cm"
"hf-in"
"2,5 cm"
"5"
"6 cm"
"2 cm"
"2"
"hs"
"hf"
"5 cm"
"1 cm"
"0"
"4 cm"
"1"
"Abfüllun"
"4"
"4,5 cm"
" , in"
"Importeu"
"5,5 cm"
"Abf. Lud"
"ms"
"6,5 cm"
"7,5 cm"
"Abfüller"
"ls"
" , 2 cm"
"ts-hs"
"Cruse"
"Negocian"
"7 cm"
"in"
"Etikett "
"3"
"ms-lms"
"Nicolas "
"hs-ms"
"in-ts"
"ts"
"9 cm"
"1,5 cm"
"8 cm"
"3,5 cm"
