"auctiondate","avg","lot_sold","lot_not_sold"
"2019-10-11 00:00:00",210.83333333333334,22,2
"2020-05-17 00:00:00",271.25,8,0
"2019-02-17 00:00:00",182.22222222222223,9,0
"2020-08-11 00:00:00",345.8333333333333,6,0
"2021-04-18 00:00:00",238.86973684210525,36,2
"2022-01-16 00:00:00",388.6772727272728,22,0
"2021-05-12 00:00:00",266.9129435483871,122,2
"2022-03-20 00:00:00",323.57414634146346,41,0
"2019-12-29 00:00:00",258.75,3,1
"2021-06-20 00:00:00",326.41625,40,0
"2021-01-08 00:00:00",291.2782222222222,40,5
"2020-05-04 00:00:00",122.91818181818181,8,3
"2021-10-24 00:00:00",287.17611650485435,100,3
"2022-05-22 00:00:00",305.23152173913047,22,1
"2021-01-24 00:00:00",417.5519014084507,70,1
"2020-09-08 00:00:00",242.7027027027027,24,13
"2021-11-14 00:00:00",305.633164556962,149,9
"2021-02-14 00:00:00",301.9004651162791,38,5
"2019-07-07 00:00:00",101.35277777777777,9,9
"2020-12-07 00:00:00",302.8418181818182,22,0
"2022-01-05 00:00:00",413.5009677419354,30,1
"2019-05-19 00:00:00",0,0,5
"2020-09-27 00:00:00",201.87727272727273,19,3
"2020-02-16 00:00:00",214.0909090909091,10,1
"2021-09-05 00:00:00",267.3693220338983,53,6
"2022-10-04 00:00:00",235.1092156862745,50,1
"2020-12-27 00:00:00",272.4193548387097,28,3
"2021-12-26 00:00:00",271.8450505050505,97,2
"2021-11-07 00:00:00",318.10941176470584,65,3
"2019-09-29 00:00:00",176.93636363636364,9,2
"2021-03-28 00:00:00",254.32815789473682,69,7
"2021-03-10 00:00:00",264.26625,96,0
"2022-12-06 00:00:00",272.0589010989011,77,14
"2021-05-30 00:00:00",330.82,54,2
"2021-12-09 00:00:00",379.2087301587302,62,1
"2022-02-27 00:00:00",207.54024390243902,41,0
"2019-04-08 00:00:00",173.71153846153845,18,8
"2020-05-01 00:00:00",195.5,9,1
"2022-06-02 00:00:00",449.7631481481481,27,0
"2021-08-22 00:00:00",346.04540000000003,50,0
