"id","name","winepoints_signalled","packaging_signalled","vintage_signalled","bottlesize_signalled","origin_signalled","fill_level_signalled","state_signalled","min_price_signalled","max_price_signalled","sold","price","minimum_price","maximum_price"
21585,"Pichler, F.X. ""Unendlich"" Riesling Smaragd 2000 0,75 l",1,NULL,1,1,1,1,1,1,1,1,140,120,240
21586,"Bodegas Berberana Vina Alarde Gran Reserva 1995 0,75 l",NULL,1,1,1,1,1,1,1,1,1,60,60,180
21587,"Villa Banfi Cabernet-Sauvignon Tavernelle 1984 1,5 l",NULL,NULL,1,1,1,1,1,1,1,NULL,0,50,80
21588,"Pichler, F.X. ""Unendlich"" Riesling Smaragd 2017 0,75 l",1,NULL,1,1,1,1,1,1,1,NULL,0,120,240
21589,"Chateau Peyreau 2001 0,75 l",NULL,NULL,1,1,1,1,1,1,1,NULL,0,40,80
21590,"The Wild Boys of Batonnage Club Batonnage 2008 0,75 l",NULL,NULL,1,1,1,1,1,1,1,NULL,0,60,120
21591,"Pahlmeyer Proprietary Red 1993 0,75 l",1,NULL,1,1,1,1,1,1,1,NULL,0,100,200
21592,"Weingüter Wegeler Geheimrat ""J"" Riesling Sekt Brut 1988 0,75 l(1)",1,1,1,1,1,1,1,1,1,NULL,0,50,85
21593,"Weingut Dr. Loosen Erdener Prälat Alte Reben Grosses Gewächs 2011 1,5 l",NULL,1,1,1,1,1,1,1,1,NULL,0,125,250
21594,"Perrier-Jouet Belle Epoque Brut 1989 0,75 l",NULL,NULL,1,1,1,1,1,1,1,NULL,0,75,150
21595,"Mascarello, B. Barolo 1985 0,75 l",NULL,NULL,1,1,1,1,1,1,1,NULL,0,265,530
21596,"Heymann Löwenstein Winninger Uhlen Laubach Riesling Erste Lage 2005 0,75 l",1,NULL,1,1,1,1,1,1,1,NULL,0,60,120
21597,"Jadot, Louis Batard Montrachet Grand Cru 1998 0,75 l",1,NULL,1,1,1,1,1,1,1,NULL,0,150,300
21598,"Gaja, Angelo Barbaresco 1987 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,90,70,140
21599,"Weingut Knipser Laumersheimer Kapellenberg Riesling Kabinett trocken 2010 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,50,30,60
21600,"Antinori Tignanello 2001 0,75 l",1,NULL,1,1,1,1,1,1,1,1,80,60,120
21601,"Pichler, F.X. Grüner Veltliner Von den Terrassen Smaragd 2000 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,180,120,240
21714,"Gantenbein Pinot Noir 2007 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,135,115,230
21602,"Chateau d´ Yquem 1971 0,75 l",1,NULL,1,1,1,1,1,1,1,1,445,375,750
21603,"Tua Rita Giusto di Notri 2006 0,75 l",1,1,1,1,1,1,1,1,1,1,100,50,100
21604,"Chateau Mouton-Rothschild 1990 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,300,280,560
21605,"Drappier Cuvee Carte d'Or Brut 1998 1,5 l",NULL,1,1,1,1,1,1,1,1,1,80,80,160
21606,"The Wild Boys of Batonnage Club Batonnage 2014 0,75 l",NULL,1,1,1,1,1,1,1,1,1,130,60,120
21607,"Pichler, F.X. Dürnsteiner Liebenberg Grüner Veltliner Smaragd 2017 1,5 l",1,NULL,1,1,1,1,1,1,1,1,120,100,200
21608,"Quinta do Noval Vintage Port 1966 0,75 l",NULL,NULL,1,1,1,1,1,1,1,NULL,0,190,380
21609,"Chateau Bon Pasteur 1989 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,70,60,130
21610,"Bollinger Vintage R.D. Extra Brut 1976 0,75 l",NULL,NULL,1,1,1,1,1,1,1,NULL,0,360,720
21611,"Levi, Serafino Grappa - braun  ""della botte piccola"" 52 % Vol. 1984 0,7 l",NULL,NULL,1,1,1,1,1,1,1,NULL,0,130,265
21612,"Bodegas Alejandro Fernandez Pesquera Reserva Especial Janus 1982 0,75 l",1,NULL,1,1,1,1,1,1,1,1,65,55,110
21613,"Sine Qua Non Atlantis Syrah Fe 203-1c 2005 0,75 l",1,1,1,1,1,1,1,1,1,1,400,400,800
21614,"Chateau Cheval Blanc 1990 0,75 l",1,1,1,1,1,1,1,1,1,1,810,750,1.5
21615,"Dönnhoff Niederhäuser Hermannshöhle Riesling Grosses Gewächs 2015 0,75 l",1,NULL,1,1,1,1,1,1,1,1,220,120,240
21616,"Chateau Margaux Pavillon Rouge, 2e vin de Margaux 2001 0,75 l",NULL,NULL,1,1,1,1,1,1,1,NULL,0,200,400
21617,"The Wild Boys of Batonnage Club Batonnage 2013 0,75 l",NULL,1,1,1,1,1,1,1,1,1,230,180,360
21618,"Moet & Chandon   Brut Imperial NV 1,5 l",NULL,NULL,NULL,1,1,1,1,1,1,1,65,45,80
21619,"Antinori Chianti Classico Riserva Villa Antinori 1986 3,0 l",NULL,NULL,1,1,1,1,1,1,1,1,120,40,80
21620,"Mayr, Josephus Lamarein 2015 1,5 l",NULL,NULL,1,1,1,1,1,1,1,1,205,135,270
21621,"Hardy's HRB Reserve Bin Chardonnay 2016 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,110,90,180
21622,"Weil, Robert Kiedricher Gräfenberg Riesling Erstes Gewächs 2016 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,70,60,120
21623,"Ferrocinto Magliocco 2012 3,0 l",NULL,1,1,1,1,1,1,1,1,1,30,20,40
21624,"Taittinger Comtes de Champagne Blanc de Blanc Brut 1975 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,370,330,660
21625,"Jermann Were Dreams 1999 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,105,75,150
21626,"Rosemount GSM 2003 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,30,30,60
21627,"Chateau Cheval Blanc 1990 0,75 l",1,1,1,1,1,1,1,1,1,1,750,750,1.5
21628,"Jermann Were Dreams 1989 0,75 l",NULL,NULL,1,1,1,1,1,1,1,NULL,0,75,150
21629,"Jadot, Louis Chevalier-Montrachet Les Demoiselles Grand Cru 1998 0,75 l",1,NULL,1,1,1,1,1,1,1,1,280,280,560
21630,"Krug Collection Brut 1962 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,1.5,1,2
21631,"Sine Qua Non E-raised Syrah 1998 0,75 l",1,1,1,1,1,1,1,1,1,1,580,520,1.04
21632,"Chateau Lafite-Rothschild Carruades de Lafite, 2e Vin de Lafite-Rothschild 2001 0,75 l",1,NULL,1,1,1,1,1,1,1,1,350,270,540
22103,"Autreau de Champillon Milliesime Brut  1993 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,120,120,240
21633,"Comte Georges de Vogue Musigny Vieilles Vignes Grand Cru 1990 0,375 l",1,NULL,1,1,1,1,1,1,1,NULL,0,320,640
21634,"Case Basse (Soldera) Brunello di Montalcino 1983 0,75 l",NULL,1,1,1,1,1,1,1,1,NULL,0,600,1.2
21635,"Chateau Musar Chateau Musar (rot) 1989 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,105,75,150
21636,"Veuve Clicquot Ponsardin Brut NV 3,0 l",NULL,1,NULL,1,1,1,1,1,1,1,155,115,225
21637,"Chateau Montrose 2005 0,75 l",1,1,1,1,1,1,1,1,1,1,140,100,200
21638,"Stag's Leap Wine Cellars Cabernet Sauvignon ""Artemis"" 2013 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,150,120,240
21639,"Chateau Latour Les Forts de Latour, 2e vin de Latour 1995 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,240,200,400
21640,"Chateau Margaux Pavillon Rouge, 2e vin de Margaux 2002 0,75 l",NULL,1,1,1,1,1,1,1,1,1,90,90,180
21641,"Chateau Haut-Brion 1986 0,75 l",1,NULL,1,1,1,1,1,1,1,1,300,300,600
21642,"Niepoort Colheita Port 1952 0,75 l",NULL,NULL,1,1,1,1,1,1,1,NULL,0,350,700
21643,"Perrier-Jouet Belle Epoque 1999 0,75 l",1,NULL,1,1,1,1,1,1,1,1,90,90,180
