"id","name","winepoints_signalled","sold","winepoints"
21621,"Hardy's HRB Reserve Bin Chardonnay 2016 0,75 l",NULL,1,0
21622,"Weil, Robert Kiedricher Gräfenberg Riesling Erstes Gewächs 2016 0,75 l",NULL,1,0
21623,"Ferrocinto Magliocco 2012 3,0 l",NULL,1,0
21624,"Taittinger Comtes de Champagne Blanc de Blanc Brut 1975 0,75 l",NULL,1,0
21625,"Jermann Were Dreams 1999 0,75 l",NULL,1,0
21626,"Rosemount GSM 2003 0,75 l",NULL,1,0
21627,"Chateau Cheval Blanc 1990 0,75 l",1,1,98
21628,"Jermann Were Dreams 1989 0,75 l",NULL,NULL,0
21629,"Jadot, Louis Chevalier-Montrachet Les Demoiselles Grand Cru 1998 0,75 l",1,1,89
21630,"Krug Collection Brut 1962 0,75 l",NULL,1,0
21631,"Sine Qua Non E-raised Syrah 1998 0,75 l",1,1,97
21632,"Chateau Lafite-Rothschild Carruades de Lafite, 2e Vin de Lafite-Rothschild 2001 0,75 l",1,1,90
22103,"Autreau de Champillon Milliesime Brut  1993 0,75 l",NULL,1,0
21633,"Comte Georges de Vogue Musigny Vieilles Vignes Grand Cru 1990 0,375 l",1,NULL,96
21634,"Case Basse (Soldera) Brunello di Montalcino 1983 0,75 l",NULL,NULL,0
21635,"Chateau Musar Chateau Musar (rot) 1989 0,75 l",NULL,1,0
21636,"Veuve Clicquot Ponsardin Brut NV 3,0 l",NULL,1,0
21637,"Chateau Montrose 2005 0,75 l",1,1,97
21638,"Stag's Leap Wine Cellars Cabernet Sauvignon ""Artemis"" 2013 0,75 l",NULL,1,0
21639,"Chateau Latour Les Forts de Latour, 2e vin de Latour 1995 0,75 l",NULL,1,0
21640,"Chateau Margaux Pavillon Rouge, 2e vin de Margaux 2002 0,75 l",NULL,1,0
21641,"Chateau Haut-Brion 1986 0,75 l",1,1,93
21642,"Niepoort Colheita Port 1952 0,75 l",NULL,NULL,0
21643,"Perrier-Jouet Belle Epoque 1999 0,75 l",1,1,92
