"id","name","winepoints_signalled","sold","winepoints"
28979,"Moet & Chandon Dom Perignon Brut 1985 0,75 l",1,1,96
28980,"Chateau Cos d´Estournel 1994 1,5 l",1,1,91
28981,"Chateau Margaux Pavillon Rouge, 2e vin de Margaux 1994 0,75 l",NULL,1,0
28982,"Chateau Cheval Blanc 2003 0,75 l",1,1,92
28983,"Krug Rosé Brut NV 0,75 l",1,1,92
28984,"Clos des Papes, Avril Chateauneuf-du-Pape 1995 0,75 l",1,1,93
28985,"Barthod, Ghislaine Chambolle Musigny Les Fuées 1er Cru 1996 0,75 l",NULL,NULL,0
28986,"Chateau Mouton-Rothschild 1990 0,75 l",NULL,1,0
28987,"Cogno, Elvio Barolo Cuscina Nuova 2011 0,75 l",1,1,91
28988,"Chateau Ducru-Beaucaillou 1990 0,75 l",NULL,1,0
28989,"Chateau Mouton-Rothschild 1998 0,75 l",1,1,97
28990,"Clos Saint Jean Chateauneuf-du-Pape 2008 0,75 l",1,NULL,90
28991,"Kavalan 40th Anniversary limited Edition King Car Single Malt Whisky Single Cask 56,3 % vol. NV  1,5 l",NULL,NULL,0
28992,"Alzinger, Leo Loibner Grüner Veltliner Reserve 2019 1,5 l",1,1,97
28993,"Alzinger, Leo Loibner Loibenberg Grüner Veltliner Smaragd 2019 1,5 l",1,1,96
28994,"Alzinger, Leo Loibner Loibenberg Riesling Smaragd 2019 1,5 l",1,1,96
28995,"Alzinger, Leo Loibner Steinertal Grüner Veltliner Smaragd 2019 1,5 l",1,1,98
28996,"Knoll, Emmerich Dürnsteiner Kellerberg Riesling Smaragd 2019 1,5 l",1,1,97
28998,"Knoll, Emmerich Loibner Grüner Veltliner Vinothekfüllung Smaragd 2017 3,0 l",1,1,95
28999,"Knoll, Emmerich Loibner Kreutles Grüner Veltliner Smaragd 2019 1,5 l",1,1,95
29000,"Knoll, Emmerich Loibner Loibenberg Grüner Veltliner Smaragd 2017 3,0 l",1,1,91
29001,"Arietta ""Variation One"" Syrah - Merlot 2004 0,75 l",NULL,NULL,0
29002,"Turley Cellars Zinfandel Dusi 2004 0,75 l",1,1,89
29003,"Chateau Mouton-Rothschild 1990 0,75 l",1,1,90
29004,"Chateau Mouton-Rothschild 1992 0,75 l",NULL,1,0
29005,"Chateau Mouton-Rothschild 1993 0,75 l",1,1,90
29006,"Chateau Mouton-Rothschild Chateau Mouton-Rothschild US-Etikett 1993 0,75 l",1,1,90
29007,"Pol Roger Blanc de Blancs Brut 1999 0,75 l",1,1,93
29033,"Nigl Senftenberger Piri Grüner Veltliner ""Privat"" 1998 1,5 l(1)",NULL,1,0
29008,"Pol Roger Rosé Brut 1996 0,75 l",1,1,92
29009,"Pol Roger Rosé Brut 2000 0,75 l",1,1,91
29010,"Domaine Anne Gros Clos de Vougeot Le Grand Maupertui Grand Cru 1996 0,75 l(1)",1,1,92
29011,"Vietti Villero Barolo Riserva 1982 0,75 l",NULL,NULL,0
29012,"Weingut Knipser Laumersheimer Kapellenberg Riesling Kabinett trocken 2010 0,75 l",NULL,1,0
29013,"Trimbach, F.E. Gewürztraminer Reserve Personelle Vendange Tardive 1983 0,75 l",NULL,1,0
29014,"Remy Martin Cognac Grande Fine Champagne 1er Cru 250. Anniversary Jubilee 1724-1974 NV 0,7 l",NULL,NULL,0
29015,"Chateau Ausone 1983 0,75 l",1,NULL,91
29016,"Chateau Climens 2005 0,375 l",1,1,97
29017,"Warrenmang Estate Shiraz 1998 0,75 l(2)",1,NULL,90
29018,"Ca Marcanda 2000 0,75 l(5)",1,1,93
29019,"Chateau Montrose 2000 0,75 l",1,1,94
29020,"Chateau Talbot 1982 0,75 l",1,1,95
29022,"Chateau Petrus 1998 0,75 l",1,1,98
29023,"Domaine René Engel Echezeaux Grand Cru 1994 0,75 l",NULL,1,0
29025,"Chateau Palmer 1990 0,75 l(4)",1,1,92
29026,"Chateau Batailley 1990 0,75 l",1,1,92
29027,"Chateau Lafite-Rothschild 1990 0,75 l",1,1,96
29028,"Chateau Lafite-Rothschild 1990 0,75 l",1,1,96
29029,"Chateau Lafite-Rothschild 1990 0,75 l",1,1,96
29030,"Chateau Latour Les Forts de Latour, 2e vin de Latour 1978 0,75 l",NULL,1,0
29031,"Bacio Divino Proprietary Red 2000 0,75 l",1,NULL,90
29032,"Bacio Divino Proprietary Red 2000 0,75 l",1,1,90
29036,"Weingut Helmut Lang Sämling 88 Trockenbeerenauslese 1995 0,375 l",NULL,NULL,0
29037,"Blankiet Rive Droite Proprietary Red 2011 0,75 l",1,1,89
29038,"Hirtzberger, Franz Spitzer Singerriedel Riesling Smaragd 2014 1,5 l",1,1,92
29039,"Quinta do Vale Meao Tinto 2005 0,75 l",1,1,95
29040,"Chateau Mouton-Rothschild Mouton Baronne Philippe 1978 0,75 l",NULL,1,0
29041,"Chateau la Dominique 1994 0,75 l",NULL,NULL,0
29042,"Dönnhoff Norheimer Dellchen Riesling Spätlese 2005 0,75 l",NULL,1,0
29043,"Chateau Canon-La-Gaffeliere 1990 0,75 l",1,1,94
29044,"Chateau La Tour de By Chateau La Tour de By ""Heritage Marc Pages"" 2011 0,75 l",NULL,1,0
29045,"Domaine de Courcel Pommard Les Rugiens 1er Cru 1990 0,75 l",NULL,1,0
29046,"Foradori Teroldego Granato 2000 1,5 l",NULL,1,0
29047,"Schubert von, Carl Gutsverwaltung Maximin Grünhäuser Herrenberg Riesling Spätlese 1993 0,375 l",NULL,1,0
29048,"Henschke Hill of Grace Vineyard Shiraz 2001 0,75 l",1,1,94
29049,"Baron Philippe de Rothschild Mouton Cadet 1988 0,75 l",NULL,1,0
29050,"Croix de Salles Armagnac Rarissime Extra Vieille 1969 0,7 l",NULL,NULL,0
29051,"Chateau Troplong-Mondot 1988 0,75 l",1,NULL,90
29052,"Domaine Bois de Boursan Chateauneuf-du-Pape Les Baud 2005 0,75 l",NULL,1,0
29053,"Chateau La Tour du Haut-Moulin 1999 1,5 l(1)",NULL,1,0
29054,"Chateau Haut-Brion 2012 0,75 l",1,1,96
29055,"Heinrich, Gernot Blaufränkisch Alter Berg 2014 0,75 l",NULL,NULL,0
29056,"Two Hands Wines Shiraz Samanthas Garden 2013 0,75 l",NULL,NULL,0
29057,"Chateau Lanessan 2000 0,75 l",NULL,1,0
29058,"Kalleske Grenache Old Vine 2008 0,75 l",1,NULL,91
29059,"Bacio Divino Proprietary Red 1997 0,75 l",1,NULL,90
29060,"De Lisio Grenache 2005 0,75 l",1,1,92
29061,"Moet & Chandon Dom Perignon Rosé Brut 2000 0,75 l",1,1,96
29062,"Moet & Chandon Dom Perignon Rosé Brut 2000 0,75 l",1,1,96
29063,"Moet & Chandon Dom Perignon Rosé Brut 2000 0,75 l",1,1,96
29064,"Moet & Chandon Dom Perignon Rosé Brut 2002 0,75 l",1,1,98
29065,"Moet & Chandon Dom Perignon Rosé Brut 2002 0,75 l",1,1,98
29066,"Moet & Chandon Dom Perignon Rosé Brut 2002 0,75 l",1,1,98
29067,"Moet & Chandon Dom Perignon Rosé Brut 2002 0,75 l",1,1,98
29068,"Moet & Chandon Dom Perignon Rosé Brut 2002 0,75 l",1,1,98
29069,"Moet & Chandon Dom Perignon Rosé Brut 2002 0,75 l",1,1,98
29070,"Mitolo Shiraz Reiver 2004 0,75 l",NULL,1,0
29071,"Weingut Müller-Catoir Gimmeldinger Schlössel Rieslaner Trockenbeerenauslese 1998 0,375 l",NULL,NULL,0
29073,"Weingut Müller-Catoir Mußbacher Eselshaut Riesling Eiswein 2001 0,375 l",NULL,NULL,0
29074,"Weingut Müller-Catoir Mußbacher Eselshaut Rieslaner Trockenbeerenauslese 2001 0,375 l",NULL,NULL,0
29075,"Taittinger Comtes de Champagne Blanc de Blanc Brut 1986 0,75 l",NULL,NULL,0
29076,"Chateau Poujeaux 1994 0,75 l",NULL,NULL,0
29077,"Chateau Lafite-Rothschild 1987 0,75 l",NULL,NULL,0
29078,"Clos des Papes, Avril Chateauneuf-du-Pape 2010 0,75 l",1,NULL,99
29079,"Clos des Papes, Avril Chateauneuf-du-Pape 2010 0,75 l",1,NULL,99
29080,"Chateau Haut-Bailly 1994 0,75 l",1,NULL,90
29081,"Kalleske Shiraz Greenock 2011 0,75 l",NULL,NULL,0
29082,"Molitor, Markus - Haus Klosterberg Zeltinger Sonnenuhr Riesling Spätlese trocken 1997 0,75 l(3)",NULL,1,0
29083,"Chateau Mouton-Rothschild 2017 0,75 l",1,NULL,96
29084,"Clarendon Hills Merlot ""Brookman Vineyard"" 1998 0,75 l",NULL,NULL,0
29085,"Monsieur Bailbe Mas Désirée 1945 0,5 l",NULL,1,0
29086,"Chateau Ausone 1945 0,75 l",NULL,NULL,0
29087,"Chateau Rieussec 2003 0,375 l",1,1,95
29088,"Domaine de Cristia Chateauneuf-du-Pape ""Cuvee Renaissance"" 2010 0,75 l",1,1,95
29089,"Mas de Boislauzon Chateauneuf-du-Pape 2009 0,75 l",1,1,93
29090,"Domaine Chicotot Nuits Saint Georges Les Rues de Chaux 1er Cru 1999 0,75 l(3)",NULL,1,0
29117,"Trimbach, F.E. Riesling Clos St. Hune 1988 0,75 l",NULL,1,0
29091,"Chateau Mouton-Rothschild 1976 0,75 l",NULL,1,0
29092,"Chateau Lafite-Rothschild 1994 0,75 l",1,NULL,90
29093,"Chateau Carbonnieux Chateau Carbonnieux blanc 1987 0,75 l(1)",1,1,90
29094,"Warrenmang The Miracle 2008 0,75 l",NULL,NULL,0
29095,"Domaine Emilian Gillet - Thevenet, J. Macon Village Quintaine 1999 1,5 l",NULL,1,0
29096,"Marques de Murrieta Castillo Ygay Gran Reserva Especial 2000 0,75 l(1)",1,1,90
29097,"Tenuta San Guido Sassicaia 2004 0,75 l",NULL,1,0
29098,"Chapelle Saint Theodoric Chateauneuf-du-Pape La Guigasse 2012 0,75 l",1,NULL,94
29099,"Frescobaldi - Mondavi Luce 2010 0,75 l",1,1,94
29100,"Kalleske Grenache Old Vine 2006 0,75 l",1,NULL,92
29102,"Les Cailloux (Lucien et Andre Brunel) Chateauneuf-du-Pape Cuvee Centenaire 2007 0,75 l",1,NULL,96
29104,"Tardieu Laurent Cornas Vieilles Vignes 1999 0,75 l(1)",1,1,91
29105,"Tardieu Laurent Cote Rotie 1999 0,75 l(2)",1,1,95
29106,"Tardieu Laurent Hermitage 1999 0,75 l(1)",1,1,95
29107,"Domaine Gilles Troullier Boreal 2013 0,75 l(1)",1,1,94
29108,"Clos des Papes, Avril Chateauneuf-du-Pape 2005 0,75 l",1,1,94
29109,"Produttori del Barbaresco Asili Barbaresco Riserva 2013 0,75 l(1)",1,1,96
29110,"Produttori del Barbaresco Asili Barbaresco Riserva 2013 0,75 l(1)",1,1,96
29111,"Domaine Weinbach/Faller, Colette Tokay Pinot Gris Clos des Capucins Cuvee Ste Catherine 1989 0,75 l(4)",NULL,1,0
29112,"Trimbach, F.E. Riesling Clos St. Hune 1982 0,75 l",NULL,NULL,0
29113,"Trimbach, F.E. Riesling Clos St. Hune 1988 0,75 l",NULL,1,0
29114,"Trimbach, F.E. Riesling Clos St. Hune 1988 0,75 l",NULL,1,0
29115,"Trimbach, F.E. Riesling Clos St. Hune 1988 0,75 l",NULL,1,0
29116,"Trimbach, F.E. Riesling Clos St. Hune 1988 0,75 l",NULL,1,0
29118,"Trimbach, F.E. Riesling Clos St. Hune 1988 0,75 l",NULL,1,0
29119,"Trimbach, F.E. Riesling Clos St. Hune 1988 0,75 l",NULL,1,0
29120,"Trimbach, F.E. Riesling Clos St. Hune 1988 0,75 l",NULL,1,0
29121,"Domaine de Villeneuve Chateauneuf-du-Pape ""Vielles Vignes"" 1998 0,75 l(6)",1,1,91
29122,"Roederer, Louis Cristal Brut 2007 0,75 l",1,1,95
29123,"Domaine Denis Mortet Chambertin Grand Cru 2007 0,75 l",1,NULL,90
29124,"Domaine Bachelet Charmes Chambertin Vieilles Vignes Grand Cru 2008 0,75 l",1,1,94
29125,"Chateau Rausan Segla 2008 0,75 l(1)",1,1,90
29126,"Felluga, Livio Sosso 1995 1,5 l",NULL,1,0
29127,"Patz & Hall Chardonnay 2013 0,75 l",NULL,NULL,0
29128,"Suntory The Hakushu Single Malt Whisky 18 Year Old  43 % vol. NV 0,7 l",NULL,NULL,0
29129,"Chateau Doisy-Daene Chateau L'Extravagant de Doisy-Daene 2011 0,75 l",1,1,95
29130,"Moet & Chandon Dom Perignon Rosé Brut 2003 0,75 l",1,1,94
29131,"Domaine Gauby Cotes du Roussillon Villages Cuvee Muntada 1998 0,75 l",NULL,1,0
29132,"Domaine Gauby Cotes du Roussillon Villages Cuvee Muntada 1998 0,75 l",NULL,1,0
29133,"Domaine Ostertag Muenchberg Riesling Vieilles Vignes Vendanges Tardives Grand Cru 1990 0,75 l",NULL,1,0
29134,"Domaine Gauby Cotes du Rousillon Vieilles Vignes blanc 1997 0,75 l",NULL,1,0
29135,"Domaine Gauby Cotes du Rousillon Vieilles Vignes Village 1997 0,75 l",NULL,1,0
29136,"Vassière de la, Guilbert Mas de Daumas Gassac blanc 1997 0,75 l",NULL,1,0
29137,"Vassière de la, Guilbert Mas de Daumas Gassac blanc 1997 0,75 l(3)",NULL,NULL,0
29138,"Vassière de la, Guilbert Mas de Daumas Gassac rouge 1996 0,75 l",NULL,1,0
29139,"Chateau Haut-Batailley 1978 0,75 l(1)",1,1,92
29140,"Chateau Lynch-Bages 1994 0,75 l(6)",NULL,1,0
29141,"Il Molino di Grace Chianti Classico Solo Sangiovese 2015 0,75 l",1,1,92
29142,"Rockford Shiraz Hoffmann Vineyard 1999 0,75 l",NULL,NULL,0
29143,"Chateau Beaumont 1989 0,75 l",NULL,1,0
29144,"Biondi Santi-Il Greppo Brunello di Montalcino 1975 0,75 l",NULL,1,0
29145,"Cakebread Cellars Cabernet Sauvignon Benchland Select 1997 0,75 l",1,1,90
29146,"Prieur, Jacques Le Montrachet Grand Cru 2003 0,75 l",NULL,NULL,0
29147,"Taittinger Prelude Grands Crus Brut NV 0,75 l",1,1,91
29148,"Biondi Santi-Il Greppo Brunello di Montalcino 1975 0,75 l",NULL,NULL,0
29149,"Chateau Mouton-Rothschild 1984 0,75 l",NULL,1,0
29150,"Bodegas Protos Protos Gran Reserva 1990 0,75 l",NULL,1,0
29151,"Hirtzberger, Franz Spitzer Singerriedel Riesling Smaragd 2005 0,75 l",1,1,95
29152,"Clos Saint Jean Chateauneuf-du-Pape 2011 0,75 l",1,NULL,91
29153,"Domaine Armand Rousseau Gevrey Chambertin Village 1994 0,75 l",NULL,1,0
29154,"Domaine Laffont Hecate 2000 0,75 l",NULL,1,0
29155,"Chateau Mayne Lalande Chateau Mayne Lalande Grande Reserve 1996 0,75 l",NULL,1,0
29156,"Bodega Aleanna Gran Enemigo El Cepillo Single Vineyard 2013 0,75 l",1,1,97
29157,"Forman Cabernet Sauvignon 2015 0,75 l",1,1,92
29158,"Domaine de Fondreche Cotes du Ventoux Divergente 2016 0,75 l",NULL,1,0
29159,"Fruitiere Vinicole  Chateau Chalon Vin Jaune 1973 0,62 l ",NULL,NULL,0
29160,"Standish The Relic 2016 0,75 l",1,1,99
29161,"Knoll, Emmerich Loibner Loibenberg Grüner Veltliner Smaragd 2019 1,5 l",1,1,96
29162,"Knoll, Emmerich Loibner Loibenberg Riesling Smaragd 2019 1,5 l",1,1,97
29163,"Knoll, Emmerich Loibner Schütt Grüner Veltliner Smaragd 2019 1,5 l",1,1,96
29164,"Knoll, Emmerich Steiner Pfaffenberg Riesling Selection 2019 1,5 l",1,1,98
29165,"Pichler, F.X. Dürnsteiner Grüner Veltliner Smaragd 2019 1,5 l",NULL,1,0
29166,"Pichler, F.X. Dürnsteiner Kellerberg Grüner Veltliner Smaragd 2019 1,5 l",NULL,1,0
29167,"Pichler, F.X. Dürnsteiner Kellerberg Riesling Smaragd 2018 0,75 l",1,1,94
29168,"Pichler, F.X. Dürnsteiner Kellerberg Riesling Smaragd 2018 0,75 l",1,1,94
29169,"Pichler, F.X. Dürnsteiner Kellerberg Riesling Smaragd 2018 0,75 l",1,1,94
29170,"Pichler, F.X. Dürnsteiner Kellerberg Riesling Smaragd 2019 1,5 l",NULL,1,0
29171,"Domaine Armand Rousseau Chambertin Clos de Beze Grand Cru 1993 0,75 l",1,1,96
29360,"Amiot Servelle Chambolle Musigny Derriere la Grange 1er Cru 2009 0,75 l",NULL,NULL,0
29172,"Domaine Armand Rousseau Chambertin Clos de Beze Grand Cru 1993 0,75 l",1,1,96
29173,"Domaine Armand Rousseau Chambertin Clos de Beze Grand Cru 1993 0,75 l",1,1,96
29174,"Domaine Armand Rousseau Chambertin Grand Cru 1993 0,75 l",1,1,96
29175,"Domaine Armand Rousseau Chambertin Grand Cru 1993 0,75 l",1,1,96
29176,"Domaine Armand Rousseau Chambertin Grand Cru 1993 0,75 l",1,1,96
29177,"Domaine Denis Mortet Gevrey Chambertin En Motrot 1998 0,75 l",1,1,94
29178,"Domaine Denis Mortet Gevrey Chambertin En Motrot 1998 0,75 l",1,1,94
29179,"Domaine Denis Mortet Gevrey Chambertin En Motrot 1998 0,75 l",1,1,94
29180,"Domaine Leroy Clos de la Roche Grand Cru 1992 0,75 l",1,NULL,93
29181,"Chateau Poujeaux 1976 0,75 l(1)",NULL,1,0
29182,"Ruinart Pere & Fils Reserve du Vicomte Ruinart de Brimont 1971 0,75 l",NULL,1,0
29183,"Gaja, Angelo Barbaresco 1983 0,75 l",NULL,NULL,0
29184,"Prüm, J.J. Wehlener Sonnenuhr Riesling Auslese Goldkapsel 1985 0,75 l",NULL,1,0
29185,"Domaine Faiveley Corton Charlemagne Grand Cru 1986 0,75 l",NULL,1,0
29186,"Chateau Trotanoy 2012 0,75 l",1,NULL,96
29187,"Kracher Grande Cuvee Nr.12 Trockenbeerenauslese 1995 0,375 l",1,NULL,96
29188,"Chateau Sociando-Mallet 2004 0,75 l",1,1,90
29189,"Castarède Armagnac 1938 0,7 l",NULL,NULL,0
29191,"Chateau Lynch-Bages 1990 0,75 l(7)",1,1,99
29192,"Chateau Mouton-Rothschild 1990 0,75 l",1,1,90
29193,"Chateau Mouton-Rothschild 1990 0,75 l",1,1,90
29194,"Chateau Mouton-Rothschild 1990 0,75 l",1,1,90
29421,"Amiot Servelle Chambolle Musigny Les Amoureuses 1er Cru 1998 0,75 l",NULL,NULL,0
29195,"Chateau Mouton-Rothschild 1990 0,75 l",1,1,90
29196,"Chateau Cos Labory 1990 0,75 l(4)",1,1,91
29197,"Chateau Cos Labory 1990 0,75 l(3)",1,1,91
29198,"Domaine René Engel Echezeaux Grand Cru 1994 0,75 l",NULL,1,0
29199,"Chateau Lafite-Rothschild 1985 0,75 l",1,1,93
29200,"Chateau Latour 1986 0,75 l",1,1,90
29201,"Proidl Senftenberger Pfeningberg Riesling ""vom Urgestein"" halbtrocken 1999 0,75 l",NULL,1,0
29202,"Mantlerhof Roter Veltliner Hommage 1999 0,75 l(4)",NULL,1,0
29203,"Erika Obermeyer Syrah-Grenache- Cinsault 2016 0,75 l",NULL,NULL,0
29204,"Clos Saint Jean Chateauneuf-du-Pape 2009 0,75 l",1,1,94
29205,"Dana Estates Hershey Vineyard Cabernet Sauvignon 2011 0,75 l",1,NULL,90
29206,"Mondavi/Rothschild Opus One 2001 0,75 l",1,1,90
29207,"Mondavi/Rothschild Opus One 2001 0,375 l",1,1,90
29208,"Erika Obermeyer Cabernet-Sauvignon 2015 0,75 l",NULL,NULL,0
29209,"Bründlmayer Zöbiger Heiligenstein Riesling Auslese 1994 1,5 l",NULL,1,0
29210,"Castello di Ceretto Marchese Emilio Pucci Chianti Classico Riserva 1966 0,75 l",NULL,1,0
29212,"Cerbaiona di Diego Molinari Brunello di Montalcino 2004 0,75 l",1,1,97
29213,"Jadot, Louis Batard Montrachet Grand Cru 1998 0,75 l",1,NULL,94
29214,"Chateau d´Angludet 1990 0,75 l",NULL,1,0
29215,"Autreau de Champillon Cuvee du Millenaire 2000 Brut NV 0,75 l",NULL,1,0
29216,"Parusso Barolo Mariondino 2001 0,75 l",1,1,93
29217,"Domaine de Marcoux Chateauneuf-du-Pape Vieilles Vignes 1998 0,75 l",1,1,99
29218,"Bertani Recioto della Valpolocella Clasico Superiore 1967 0,75 l(1)",NULL,NULL,0
29219,"Gaja, Angelo Barbaresco 2005 0,75 l",1,1,94
29220,"Paul Louis Martin Coteaux Champenois Pinot Noir Bouzy Grand Cru NV  0,75 l",NULL,1,0
29221,"Haskell Vineyards Pillars Syrah 2014 0,75 l",NULL,NULL,0
29222,"Chateau Haut-Brion Bahans Haut-Brion, 2e Vin de Haut-Brion 2000 0,75 l",1,1,91
29223,"Alzinger, Leo Loibner Loibenberg Grüner Veltliner Smaragd 2018 0,75 l",1,NULL,92
29224,"King Estate Pinot Noir Willamette Valley 2015 0,75 l",NULL,NULL,0
29225,"Alzinger, Leo Loibner Grüner Veltliner Reserve 2018 0,75 l",NULL,1,0
29226,"Domaine Jean Grivot Chambolle Musigny ""La Combe d' Orveau"" 2003 0,75 l",NULL,1,0
29227,"Alzinger, Leo Loibner Loibenberg Grüner Veltliner Smaragd 2018 1,5 l",1,1,92
29228,"Römerhof Kollwentz Blaufränkisch Setz 2011 0,75 l",NULL,1,0
29229,"Niepoort Late Bottled Vintage Port 1997 0,75 l",NULL,1,0
29230,"Chateau Arnauld 2001 0,75 l",NULL,1,0
29231,"Braida Bricco Uccellone Barbera 2001 0,75 l",1,1,90
29232,"Braida Bricco Uccellone Barbera 2001 0,75 l",1,1,90
29233,"Antinori Tignanello 1999 0,75 l",1,1,91
29234,"Antinori Tignanello 1999 0,75 l(2)",1,1,91
29235,"Antinori Tignanello 2004 0,75 l",1,1,93
29236,"Antinori Tignanello 2004 0,75 l",1,1,93
29237,"Antinori Tignanello 2004 0,75 l",1,1,93
29238,"Barone Ricasoli Chianti Classico Castello Brolio 1999 0,75 l",NULL,1,0
29239,"Barone Ricasoli Chianti Classico Castello Brolio 2001 0,75 l",NULL,1,0
29240,"Slyrs Bavarian Single Malt Whisky 12 years old Port Cask Finish 43 % vol. 2008 0,7 l",NULL,1,0
29241,"Weingut Müller-Catoir Haardter Mandelring Scheurebe Eiswein 2001 0,375 l",NULL,NULL,0
29242,"Isole e Olena Cepparello 1994 0,75 l",NULL,NULL,0
29243,"Clos du Mont - Olivet Chateauneuf-du-Pape ""La Cuvee du Papet"" 2010 0,75 l",1,NULL,99
29244,"Chateau d´Arche 1999 0,75 l",NULL,NULL,0
29245,"Chateau Mouton-Rothschild 1993 0,75 l",1,NULL,90
29246,"Chateau Moulin Saint Georges 2000 0,75 l",1,NULL,91
29247,"Chateau Chasse-Spleen 2001 0,75 l",NULL,NULL,0
29248,"Koehler-Ruprecht Kallstadter Saumagen Riesling Eiswein 1997 0,75 l",NULL,NULL,0
29249,"Chateau Liversan 1996 0,75 l",NULL,NULL,0
29250,"Chateau Caronne-Ste-Gemme 1982 0,75 l",NULL,NULL,0
29251,"Vieux Chateau Certan 1953 0,75 l",NULL,1,0
29252,"Red Nectar Shiraz 2005 0,75 l",1,NULL,91
29253,"Greenock Creek Roennfeldt Road Shiraz 2009 0,75 l",1,NULL,96
29254,"Domaine Giraud Chateauneuf-du-Pape Les Grenaches de Pierre 2001 0,75 l(1)",1,NULL,93
29255,"Domaine Santa Duc Gigondas Tradition 2005 0,75 l",NULL,1,0
29256,"Burge Family The Renoux 2003 0,75 l(11)",NULL,1,0
29257,"Bacio Divino Proprietary Red 1997 0,75 l",1,NULL,90
29258,"Greenock Creek Roennfeldt Road Shiraz 2009 0,75 l",1,NULL,96
29259,"Chateau Beauséjour-Duffau-Lagarosse 2015 0,75 l",1,NULL,91
29260,"Chateau Haut Maurac 2009 0,75 l",NULL,1,0
29261,"Bacio Divino Proprietary Red 2000 0,75 l",1,1,90
29262,"Rotllan Torra Tirant 2001 0,75 l(1)",1,1,96
29263,"Olivers Taranga Vineyards Shiraz 2002 0,75 l",1,NULL,93
29264,"Mongeard-Mugneret Clos de Vougeot Grand Cru 1983 1,5 l",1,1,90
29265,"Chateau Mouton-Rothschild 1985 0,75 l",1,1,90
29266,"Mellasat Tempranillo ""M"" 2017 0,75 l",NULL,NULL,0
29267,"Continuum Estate Continuum Propriertary Red 2017 0,375 l",1,NULL,97
29268,"Mondavi/Rothschild Opus One 2006 0,375 l(1)",1,1,93
29269,"Chateau Pontet-Canet 2004 0,75 l",1,1,92
29270,"Cliff Lede Vineyards Cabernet Sauvignon Songbook 2013 0,75 l",NULL,NULL,0
29271,"Bodegas Mauro Mauro Tinto 2005 0,75 l",1,1,93
29272,"Amaren Tempranillo Reserva 2004 0,75 l(3)",1,1,91
29273,"Horsepower Vineyards The Tribe Vineyard Syrah 2014 0,75 l",1,1,96
29274,"Hobbs Shiraz 2006 1,5 l",1,1,92
29275,"Turley Cellars Black Sears Vineyard Zinfandel 1997 0,75 l",1,NULL,96
29276,"Turley Cellars Pringle Family Vineyard Zinfandel 1999 0,75 l",1,NULL,96
29277,"Turley Cellars Rattlesnake Ridge Petite Syrah 2004 0,75 l",1,NULL,96
29278,"Caymus Cabernet Sauvignon 1988 0,75 l(1)",NULL,1,0
29279,"Caymus Cabernet Sauvignon 40th Anniversary 2012 0,75 l",1,1,96
29280,"Caymus Cabernet Sauvignon Special Selection 1991 0,75 l",1,1,91
29281,"Trimbach, F.E. Riesling Clos St. Hune 1985 0,75 l",1,1,96
29282,"Trimbach, F.E. Riesling Clos St. Hune 1985 0,75 l",1,1,96
29283,"Trimbach, F.E. Riesling Clos St. Hune 1985 0,75 l",1,1,96
29284,"Trimbach, F.E. Riesling Clos St. Hune 1985 0,75 l",1,1,96
29285,"Trimbach, F.E. Riesling Clos St. Hune 1985 0,75 l",1,1,96
29286,"Trimbach, F.E. Riesling Clos St. Hune 1985 0,75 l",1,1,96
29287,"Trimbach, F.E. Riesling Clos St. Hune Vendanges Tardives 1989 0,75 l",NULL,1,0
29288,"Trimbach, F.E. Riesling Clos St. Hune Vendanges Tardives 1989 0,75 l",NULL,1,0
29289,"Trimbach, F.E. Riesling Clos St. Hune Vendanges Tardives 1989 0,75 l",NULL,1,0
29290,"Trimbach, F.E. Riesling Clos St. Hune Vendanges Tardives 1989 0,75 l",NULL,1,0
29291,"Chateau Talbot 1986 0,75 l",1,1,96
29292,"Chateau de Fargues 2011 0,75 l",1,1,98
29293,"Baron de Sigognac Armagnac 1944 0,7 l",NULL,NULL,0
29294,"Moraira Colheita Port 1967 0,75 l",NULL,1,0
29295,"Chateau Pavie-Macquin 2010 0,75 l",1,NULL,95
29296,"Inniskillin Winery  Inniskillin Cabernet franc Icewine 1999 0,375 l",NULL,NULL,0
29297,"Anakota Helena Dakota Vineyard Cabernet Sauvignon 2014 0,75 l",1,1,98
29298,"Villa Banfi Cabernet-Sauvignon Tavernelle 1984 1,5 l",NULL,NULL,0
29299,"Chateau Langoa-Barton 2002 0,75 l",1,1,90
29300,"Chateau Pavie-Macquin 2005 0,75 l",1,NULL,96
29301,"Chateau Mouton-Rothschild 1985 0,75 l",1,1,90
29422,"Domaine Dujac Chambolle Musigny Les Gruenchers 1er Cru 1997 0,75 l",NULL,NULL,0
29302,"Chateau Mouton-Rothschild 1985 0,75 l",1,1,90
29303,"Chateau Haut-Brion 1981 0,75 l",1,1,90
29304,"Chateau La Mission-Haut-Brion 1985 0,75 l",1,1,92
29305,"Domaine de Chevalier   Domaine de Chevalier blanc 1994 0,75 l",1,1,91
29306,"Domaine du Pegau Chateauneuf-du-Pape Cuvee Reservee 1998 3,0 l",1,1,95
29307,"Guigal, Etienne Condrieu ""La Doriane"" 1996 0,75 l",1,1,93
29308,"Jaboulet Aine, Paul Crozes-Hermitage 1996 0,75 l(1)",NULL,1,0
